gen,top5,avg,med,std,unique_fitness,unique_individuals,unique_phenotypes
0,"6781,5904,5573,5508,5489",3737.42,3679.50,871.18,180,200,184
1,"8258,7852,7498,7434,6747",3816.09,3882.00,1383.71,188,200,197
2,"8861,8258,7999,7852,7852",5064.56,5135.50,1549.61,186,200,192
3,"8998,8706,8435,8431,8365",6250.54,6616.50,1704.73,175,200,179
4,"9396,9023,8998,8874,8861",7100.43,7564.50,1779.48,157,200,163
5,"9779,9723,9710,9651,9526",7605.02,8099.00,1890.82,158,200,160
6,"10323,10218,10059,9995,9867",8063.69,8659.50,2140.22,156,200,159
7,"10323,10323,10241,10218,10059",8337.14,8917.50,2035.19,155,200,160
8,"10411,10411,10323,10241,10241",8501.45,9128.00,2102.81,141,200,143
9,"10567,10567,10448,10379,10323",8071.64,9221.00,2654.34,142,200,144
10,"10567,10567,10448,10448,10411",8719.84,9412.00,2141.59,128,200,129
11,"10567,10567,10448,10411,10411",7526.40,9243.50,3093.65,132,200,132
12,"10567,10567,10448,10448,10411",7323.27,9153.50,3150.05,145,200,146
13,"10567,10567,10448,10448,10411",6746.41,8889.00,3285.14,146,200,146
14,"10567,10567,10448,10411,10411",7641.59,9184.50,2950.87,129,200,129
15,"10567,10567,10448,10448,10411",6905.58,9095.00,3274.74,141,200,143
16,"10567,10567,10448,10411,10411",6888.44,8944.00,3191.82,138,200,139
17,"10567,10567,10448,10448,10411",6852.77,8967.00,3243.11,139,200,140
18,"10567,10567,10448,10448,10411",7368.52,9150.00,3077.86,132,200,132
19,"10673,10567,10567,10448,10411",7689.86,9216.50,3063.95,135,200,138
