gen,top5,avg,med,std,unique_fitness,unique_individuals,unique_phenotypes
0,"447,413,281,281,196",8.55,0.00,52.92,7,200,7
1,"670,447,447,436,413",42.08,0.00,114.76,12,200,12
2,"811,670,670,447,447",116.30,0.00,176.08,14,200,14
3,"811,717,670,670,670",190.97,0.00,213.72,14,200,14
4,"811,811,811,811,717",242.06,226.50,257.30,11,200,11
5,"1158,1081,894,811,811",348.33,436.00,303.83,15,200,15
6,"1158,1158,1081,1081,1081",417.73,436.00,342.99,17,200,17
7,"1158,1158,1158,1158,1081",637.34,811.00,311.58,20,200,20
8,"1238,1238,1238,1158,1158",746.32,825.00,304.53,18,200,18
9,"1494,1494,1494,1494,1494",911.46,849.00,322.80,15,200,15
10,"1494,1494,1494,1494,1494",1079.75,1105.00,383.78,16,200,16
11,"1494,1494,1494,1494,1494",1353.78,1494.00,378.24,11,200,11
12,"1584,1494,1494,1494,1494",1374.46,1494.00,377.91,7,200,7
13,"1584,1584,1584,1494,1494",1377.22,1494.00,377.42,10,200,10
14,"1584,1584,1584,1584,1494",1364.45,1494.00,402.28,8,200,8
15,"1584,1584,1584,1584,1584",1386.63,1494.00,356.49,8,200,8
16,"1584,1584,1584,1584,1584",1385.90,1494.00,361.60,9,200,9
17,"1584,1584,1584,1584,1584",1395.09,1494.00,351.02,10,200,10
18,"1584,1584,1584,1584,1584",1394.53,1494.00,367.39,11,200,11
19,"1584,1584,1584,1584,1584",1416.88,1494.00,351.81,14,200,14
