gen,top5,avg,med,std,unique_fitness,unique_individuals,unique_phenotypes
0,"4222,2917,2709,2586,2460",1631.46,1740.50,468.57,102,200,107
1,"5119,4254,4222,4222,4118",2071.41,2031.00,772.70,154,200,160
2,"5449,5119,5101,4951,4707",2922.32,2863.00,876.63,168,200,174
3,"5546,5449,5445,5445,5311",3786.90,3824.50,774.85,160,200,168
4,"6005,5875,5738,5733,5703",4438.69,4578.00,974.38,148,200,153
5,"6314,6195,6190,6157,6122",5023.62,5286.00,979.06,139,200,141
6,"6683,6672,6558,6526,6493",5408.85,5657.50,947.45,122,200,122
7,"7003,6885,6829,6735,6683",5707.29,5890.00,847.73,120,200,122
8,"7079,7042,7003,7003,6982",5774.82,5981.00,1040.67,127,200,131
9,"7236,7079,7054,7042,7021",6003.09,6293.00,957.50,129,200,132
10,"7536,7292,7271,7236,7236",6215.03,6443.00,999.86,129,200,130
11,"7728,7693,7693,7536,7350",6346.30,6633.50,1087.98,139,200,141
12,"8022,7838,7728,7728,7706",6498.76,6832.00,1139.52,129,200,131
13,"8030,8022,7838,7728,7728",6678.36,6942.00,1107.17,129,200,132
14,"8179,8030,8022,8022,7873",6753.26,7014.00,1140.65,125,200,133
15,"8179,8030,8022,8022,7772",6817.76,7039.50,1009.06,116,200,127
16,"8179,8030,8022,8022,7956",6829.72,7083.00,1057.19,116,200,126
17,"8030,8022,7956,7956,7956",6846.93,7103.50,1126.85,114,200,121
18,"8179,8030,8022,7956,7956",6354.69,7122.50,1950.69,125,200,132
19,"8179,8113,8030,8022,7956",6872.28,7175.50,1198.42,114,200,120
