gen,top5,avg,med,std,unique_fitness,unique_individuals,unique_phenotypes
0,"4784,4733,4528,4071,3927",2008.14,1822.50,729.46,146,200,150
1,"5202,4849,4650,4533,4533",2541.90,2558.50,854.15,180,200,186
2,"6063,5202,5121,5108,5047",3159.32,3260.00,1027.53,176,200,182
3,"6063,6063,5714,5657,5651",3934.69,4114.00,952.97,177,200,179
4,"6969,6264,6161,5934,5910",4526.69,4630.50,878.60,174,200,182
5,"6872,6844,6840,6622,6548",5133.66,5251.00,984.09,174,200,179
6,"7412,7381,7245,7060,7049",5700.98,5862.50,1020.15,161,200,167
7,"7754,7639,7624,7412,7381",6152.52,6473.00,1136.30,143,200,148
8,"8341,8133,8032,7987,7868",6589.87,6877.50,1233.86,133,200,133
9,"8864,8405,8405,8341,8017",6820.26,7193.00,1302.21,149,200,154
10,"8864,8491,8418,8405,8341",7072.40,7393.00,1308.33,163,200,170
11,"8864,8833,8769,8555,8491",7304.77,7645.00,1321.45,146,200,147
12,"8928,8864,8833,8555,8555",7463.21,7800.00,1270.27,134,200,135
13,"8928,8864,8833,8833,8769",7125.69,7896.00,1997.72,138,200,142
14,"8864,8833,8833,8769,8645",7637.66,7950.00,1260.88,114,200,115
15,"8928,8906,8864,8833,8555",6667.34,7943.50,2533.92,122,200,122
16,"8928,8906,8864,8833,8833",7113.01,7952.00,2203.47,101,200,102
17,"8928,8906,8833,8833,8742",6529.66,7937.00,2676.89,92,200,93
18,"8928,8906,8864,8833,8833",7037.60,7950.00,2261.16,93,200,93
19,"8928,8906,8864,8833,8833",5867.90,7892.00,2999.28,107,200,107
