Method,Run,BestSol,EuclideanCost,ManhattanCost,ExecutionTime,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,3 2 4 5 1 0,10.79669127533634,14,0.05835294723510742,0.95,9.855900809652253e-28,1000,,,
RRT,0,3 2 4 5 1 0,10.79669127533634,14,0.051165103912353516,0.125,,,,4.68575314218772,
GDA,0,3 2 4 5 1 0,10.79669127533634,14,0.052602529525756836,,,,0.001632455532033676,,14.442334091901712
SA,1,3 2 4 5 1 0,10.79669127533634,14,0.05721879005432129,0.95,2.7960021711154728e-24,1000,,,
RRT,1,3 2 4 5 1 0,10.79669127533634,14,0.04475831985473633,0.125,,,,5.006454639181341,
GDA,1,3 2 4 5 1 0,10.79669127533634,14,0.05752134323120117,,,,0.001632455532033676,,14.057074586341647
SA,2,3 2 4 5 1 0,10.79669127533634,14,0.0590662956237793,0.95,7.71240583485999e-26,1000,,,
RRT,2,3 2 4 5 1 0,10.79669127533634,14,0.05440998077392578,0.125,,,,2.4098150017850304,
GDA,2,3 2 4 5 1 0,10.79669127533634,14,0.051970481872558594,,,,0.001632455532033676,,14.424377081049336
