Method,Run,BestSol,EuclideanCost,ManhattanCost,ExecutionTime,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,16 7 10 5 15 17 12 11 13 8 4 9 6 14 3 2 1 0,30.66075116262454,36,0.1537466049194336,0.95,4.650897441086594e-43,1000,,,
RRT,0,11 14 15 17 10 5 13 8 12 6 9 1 2 3 7 0 16 4,39.98176721095258,48,0.16862010955810547,0.125,,,,4.95209679988642,
GDA,0,15 11 10 12 17 6 9 13 8 5 14 1 2 3 7 0 16 4,41.810194335698775,51,0.33508777618408203,,,,0.00874053567918165,,42.27797108020738
SA,1,4 8 13 11 5 10 16 7 15 12 17 14 9 6 1 2 3 0,31.948122114152728,39,0.17008471488952637,0.95,4.6545028386046565e-52,1000,,,
RRT,1,17 12 14 6 9 15 8 13 11 5 10 16 7 3 2 1 4 0,40.122094492753845,46,0.18120908737182617,0.125,,,,7.170193901855359,
GDA,1,9 6 4 8 11 17 14 3 2 1 12 15 5 10 7 16 0 13,34.86017187567272,42,0.3997349739074707,,,,0.00874053567918165,,28.896210955381974
SA,2,16 7 10 5 13 8 11 15 12 17 14 3 2 1 6 9 4 0,30.198070350615293,37,0.15066218376159668,0.95,2.7712237374510644e-53,1000,,,
RRT,2,16 7 12 15 13 8 11 5 10 17 14 6 2 3 1 9 4 0,36.916583977961416,47,0.18081188201904297,0.125,,,,6.274052177939824,
GDA,2,5 16 7 12 17 15 8 4 13 11 9 3 2 3 1 6 14 10 0,48.99567223260589,60,0.20951104164123535,,,,0.00874053567918165,,58.45670262237056
