Method,Run,BestSol,EuclideanCost,ManhattanCost,ExecutionTime,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,7 16 4 26 23 12 27 3 6 18 22 31 5 24 10 9 25 8 11 33 21 28 13 32 17 14 20 2 19 15 29 1 30 0,52.20005801635743,59,0.5605645179748535,0.95,2.6154046517598007e-109,1000,,,
RRT,0,23 12 26 2 19 15 8 11 21 28 29 30 17 33 32 13 31 22 5 14 20 4 16 7 10 24 27 18 25 9 6 3 0 1,87.63394729687066,108,0.3331305980682373,0.125,,,,7.9151146810561785,
GDA,0,5 33 22 31 18 6 24 10 25 11 21 32 17 29 8 13 28 14 16 7 23 12 27 3 4 26 10 9 2 20 19 15 30 1 0,74.36743117556105,89,0.656761646270752,,,,0.018293210404663234,,59.96514370647924
SA,1,15 19 2 20 14 25 8 11 9 7 16 4 26 23 12 27 3 6 18 24 10 5 31 22 33 21 13 28 32 17 29 1 30 0,49.9678869519898,59,0.40680885314941406,0.95,1.1754239921876107e-87,1000,,,
RRT,1,31 22 33 8 11 5 28 13 32 19 29 21 4 16 7 23 12 26 10 24 6 3 27 18 10 9 25 19 2 20 15 17 1 30 14 0,86.10787862199354,103,0.3623206615447998,0.125,,,,9.950348045202823,
GDA,1,26 23 12 27 6 24 5 31 22 18 3 10 16 7 4 20 19 15 17 32 13 28 21 8 11 9 33 25 14 30 29 1 2 0,75.28605662732144,92,0.7061102390289307,,,,0.018293210404663234,,62.17862216544361
SA,2,5 31 22 33 21 11 25 8 28 13 32 17 29 15 19 2 20 14 16 4 26 23 12 27 3 6 18 24 0 10 9 1 30 7,52.937032789212466,62,0.9784238338470459,0.95,2.8396723857778044e-204,1000,,,
RRT,2,23 26 6 24 3 9 10 27 18 31 22 5 33 21 13 32 25 15 19 29 28 8 2 19 11 14 20 4 12 7 16 17 30 1 0,93.20649489730135,115,0.20359373092651367,0.125,,,,8.314457817856479,
GDA,2,19 15 29 28 11 9 18 5 22 31 33 21 13 17 8 16 4 23 12 27 3 6 24 10 7 20 2 14 26 0 25 1 30 32,74.60603089760936,91,0.6887307167053223,,,,0.018293210404663234,,60.25783507295387
