Method,Run,BestSol,EuclideanCost,ManhattanCost,ExecutionTime,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,10 32 25 16 26 11 9 3 23 5 14 27 24 33 22 2 31 12 6 17 19 4 8 28 30 18 20 13 15 7 21 1 29 0,59.197382219870086,68,0.5832667350769043,0.95,6.428207323429181e-95,1000,,,
RRT,0,6 12 4 20 27 5 3 9 11 32 10 18 26 16 25 14 29 23 7 24 2 31 15 22 13 17 33 21 19 0 28 8 30 1,83.32958532520635,99,0.41393423080444336,0.125,,,,4.506335103956235,
GDA,0,29 23 5 14 27 9 3 11 26 32 16 25 10 28 8 30 4 18 20 19 12 6 17 2 22 13 33 24 7 15 1 21 31 0,61.144329926356576,71,0.9603686332702637,,,,0.01764665291712047,,45.63424444369974
SA,1,28 8 30 4 18 20 13 2 22 33 24 14 27 10 32 25 16 26 11 9 3 5 23 29 7 15 21 31 12 6 17 19 0 1,55.856958974828416,64,0.5162115097045898,0.95,2.1664396674578905e-106,1000,,,
RRT,1,26 16 3 14 27 10 8 30 32 28 19 13 12 33 20 18 4 24 13 2 22 33 15 5 9 11 25 23 7 29 21 31 17 0 6 1,93.83159734952964,117,0.20392775535583496,0.125,,,,6.330504508908998,
GDA,1,19 17 12 6 20 27 32 30 8 16 3 23 29 2 22 25 14 5 33 15 1 31 22 21 18 4 10 28 11 9 26 7 1 24 13 0,108.11428149750748,125,0.3568596839904785,,,,0.01764665291712047,,114.3679575558907
SA,2,29 7 15 24 23 3 9 11 26 32 28 8 30 4 18 27 10 16 25 5 14 33 2 13 22 20 19 17 6 12 31 21 1 0,58.649753337032564,67,0.47089719772338867,0.95,5.829594021480194e-85,1000,,,
RRT,2,33 13 12 31 21 24 14 5 3 11 27 22 17 20 28 8 30 2 6 19 4 18 10 25 16 32 26 9 29 15 7 23 1 0,92.51484792543098,114,0.38704490661621094,0.125,,,,5.420986630358251,
GDA,2,32 11 3 24 20 19 22 7 25 9 26 16 12 31 13 18 2 6 28 8 17 4 15 31 1 21 23 5 14 23 22 30 27 10 33 21 1 29 0,133.04028226776444,162,0.25063180923461914,,,,0.01764665291712047,,144.59667400290766
