Method,Run,BestSol,EuclideanCost,ManhattanCost,ExecutionTime,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,2 30 20 18 22 7 23 15 25 5 29 26 8 21 11 10 12 31 13 3 19 4 24 27 9 6 33 17 32 28 14 16 1 0,43.128990204491956,47,0.44282054901123047,0.95,9.527692824551843e-98,1000,,,
RRT,0,8 26 7 6 33 17 23 19 13 3 18 11 30 21 22 20 5 25 29 15 14 28 10 32 16 12 31 24 27 9 4 0 2 1,77.0034932269021,96,0.23988747596740723,0.125,,,,6.722097119491393,
GDA,0,8 30 21 2 3 31 13 19 7 12 10 11 20 22 26 18 23 5 29 25 15 16 14 28 17 6 4 24 9 27 33 32 1 0,60.80678369948764,75,0.6639060974121094,,,,0.013551755375444079,,49.585872918749416
SA,1,26 8 21 22 20 18 15 25 29 5 23 7 30 2 13 11 10 12 31 3 19 4 24 27 9 6 33 17 32 28 14 16 1 0,44.76997652927942,52,0.30585551261901855,0.95,4.425205479491602e-61,1000,,,
RRT,1,17 6 28 16 14 32 33 27 24 9 2 11 7 25 29 5 15 20 30 22 26 8 10 31 21 18 23 7 13 3 12 19 4 0 1,70.20139235192855,88,0.38942790031433105,0.125,,,,5.511207028708046,
GDA,1,5 25 7 20 18 10 23 19 13 3 31 17 32 33 27 4 24 9 6 12 11 2 8 30 22 21 26 29 15 16 14 28 1 0,65.88768385294381,79,0.5773091316223145,,,,0.013551755375444079,,54.55936714153788
SA,2,15 25 5 29 23 7 22 26 8 21 2 30 11 20 18 10 12 31 13 3 19 4 24 27 9 6 17 33 28 32 14 16 1 0,41.66562126173751,49,0.5146009922027588,0.95,2.0581176840849959e-106,1000,,,
RRT,2,13 4 24 17 32 9 27 19 31 12 6 28 33 14 16 15 25 5 29 18 20 7 10 11 3 8 22 26 21 30 2 23 1 0,69.10007006852075,86,0.3164987564086914,0.125,,,,10.318951502619814,
GDA,2,2 19 12 31 13 3 24 4 9 27 6 33 28 32 17 10 11 20 30 21 8 26 22 23 7 18 5 29 25 15 16 14 1 0,53.70515093741169,65,0.7448666095733643,,,,0.013551755375444079,,40.69592139245724
