Method,Run,BestSol,EuclideanCost,ManhattanCost,ExecutionTime,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,20 15 4 19 27 25 22 13 16 7 31 33 14 29 32 17 18 28 6 35 34 5 11 21 26 30 12 10 2 23 9 8 1 0 24 3,55.45215384646704,67,0.46675944328308105,0.95,3.512761487659164e-93,1000,,,
RRT,0,24 8 9 10 25 16 13 4 20 15 14 33 29 31 27 19 22 32 17 18 35 11 35 5 34 28 3 6 21 26 30 26 0 1 2 23 12 27 7 3,87.52760372298317,105,0.4185349941253662,0.125,,,,5.430063412291096,
GDA,0,34 23 14 32 5 27 16 33 10 20 29 26 21 17 35 4 30 11 6 8 13 31 15 28 24 25 9 12 7 18 19 22 0 1 2 3,179.17958499165616,229,0.22835063934326172,,,,0.017917958499165616,,161.2616264924875
SA,1,29 14 33 31 17 18 28 34 32 7 16 13 27 19 25 22 15 20 4 24 23 9 26 5 11 21 30 8 0 10 12 2 35 6 3 1,62.94812211415271,74,0.4643845558166504,0.95,5.604978836589673e-92,1000,,,
RRT,1,11 5 6 28 35 21 26 8 23 22 20 15 13 16 27 17 31 29 14 33 32 34 10 12 9 18 30 4 24 19 25 7 2 23 1 0 3,93.30380008899355,119,0.393690824508667,0.125,,,,6.646712800334595,
GDA,1,34 23 14 32 5 27 16 33 10 20 29 26 21 17 35 4 30 11 6 8 13 31 15 28 24 25 9 12 7 18 19 22 0 1 2 3,179.17958499165616,229,0.20000553131103516,,,,0.017917958499165616,,161.2616264924875
SA,2,31 33 14 29 7 32 17 18 34 28 6 35 5 11 21 26 30 8 9 23 10 4 20 15 22 13 16 27 25 19 12 2 24 0 1 3,53.60497636364508,63,0.6536533832550049,0.95,1.4475923411581808e-123,1000,,,
RRT,2,5 32 18 3 31 7 13 16 14 29 22 12 10 19 4 15 20 25 27 9 24 12 32 17 33 35 6 21 8 0 1 30 23 2 11 34 3 28 26,100.20709463934368,120,0.3959498405456543,0.125,,,,6.629192494242103,
GDA,2,34 23 14 32 5 27 16 33 10 20 29 26 21 17 35 4 30 11 6 8 13 31 15 28 24 25 9 12 7 18 19 22 0 1 2 3,179.17958499165616,229,0.21084165573120117,,,,0.017917958499165616,,161.2616264924875
