Method,Run,BestSol,EuclideanCost,ManhattanCost,ExecutionTime,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,3 4 0 5 7 1 6 2,18.497365151260954,21,0.13280391693115234,0.95,9.125165071173154e-60,1000,,,
RRT,0,6 1 7 4 3 0 5 2,17.64455688890349,21,0.14228343963623047,0.125,,,,3.3194330806637535,
GDA,0,7 4 5 6 2 3 0 1,32.55068254179717,43,2.7194600105285645,,,,0.003255068254179717,,29.295614287617457
SA,1,5 3 4 7 2 1 6 0,20.650441467777792,27,0.1250743865966797,0.95,9.768556891633216e-57,1000,,,
RRT,1,4 3 4 3 5 6 1 7 2 0,22.60264235446343,29,0.09837579727172852,0.125,,,,3.1955450068174307,
GDA,1,7 4 5 6 2 3 0 1,32.55068254179717,43,2.4907145500183105,,,,0.003255068254179717,,29.295614287617457
SA,2,7 4 3 0 5 6 1 2,19.867444035869614,24,0.09710550308227539,0.95,3.984474410293851e-34,1000,,,
RRT,2,7 4 5 6 2 3 0 1,32.55068254179717,43,0.08353996276855469,0.125,,,,3.106261863989453,
GDA,2,7 4 5 6 2 3 0 1,32.55068254179717,43,2.3057663440704346,,,,0.003255068254179717,,29.295614287617457
