Method,Run,BestSol,EuclideanCost,ManhattanCost,ExecutionTime,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,16 19 22 33 26 7 18 5 23 6 20 21 8 11 10 9 27 13 17 25 30 29 24 32 14 31 3 12 34 35 28 4 15 0 2 1,59.28131581093704,71,0.7030463218688965,0.95,1.5683681642069487e-127,1000,,,
RRT,0,26 16 7 18 35 34 12 28 4 15 6 14 32 16 5 23 17 31 20 8 10 9 11 27 13 25 30 29 1 33 22 19 24 3 21 0 2,90.75271706452509,110,0.4911313056945801,0.125,,,,6.646276715150505,
GDA,0,16 5 18 7 26 33 19 24 30 25 20 21 8 11 27 9 10 13 17 31 32 23 12 34 35 6 28 4 15 0 14 3 2 1 22 29,70.24158405955572,85,0.8082199096679688,,,,0.02028775002495376,,56.541959319581196
SA,1,15 4 28 6 35 34 21 20 8 11 10 9 27 13 17 25 30 29 24 19 16 32 14 5 18 7 26 33 22 1 31 3 12 23 0 2,56.451842892173914,66,0.8778173923492432,0.95,2.206230850837018e-185,1000,,,
RRT,1,33 22 18 28 35 32 24 19 29 30 25 8 10 21 28 6 28 4 34 35 20 11 27 9 13 17 31 16 26 7 15 0 5 23 12 3 14 23 2 1,93.10772878231137,111,0.5537009239196777,0.125,,,,4.921763376811566,
GDA,1,22 33 7 18 16 24 19 31 14 28 23 4 15 35 12 34 21 20 6 10 8 27 13 17 25 30 29 26 1 5 32 9 11 3 2 0,86.91169668429728,106,0.6948833465576172,,,,0.02028775002495376,,74.27345284138883
SA,2,18 7 33 22 26 19 24 29 30 25 27 13 17 31 32 14 23 5 15 4 28 6 35 34 21 8 11 9 10 20 12 3 2 16 1 0,58.216949344488626,70,0.4918978214263916,0.95,1.528800525506678e-95,1000,,,
RRT,2,33 7 18 22 26 31 14 6 28 30 25 27 10 9 13 11 8 20 21 34 12 23 31 14 4 5 18 35 17 29 1 16 24 19 2 3 32 0 15,98.34256020487678,122,0.3187713623046875,0.125,,,,7.329276637807766,
GDA,2,33 18 32 4 10 21 9 16 0 6 34 15 6 23 20 13 8 11 31 30 24 17 9 35 32 19 29 25 1 22 5 28 14 8 27 26 2 12 7 0 3,155.28939882590197,192,0.23137402534484863,,,,0.02028775002495376,,172.85163021261377
