Method,Run,BestSol,EuclideanCost,ManhattanCost,ExecutionTime,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,7 4 5 3 2 6 0 1,16.971297588200937,21,0.08018159866333008,0.95,1.0982137464189938e-26,1000,,,
RRT,0,7 4 5 2 6 0 1 3,15.23335676971778,20,0.04449105262756348,0.125,,,,3.8040196757774694,
GDA,0,7 4 6 5 1 2 0 3,18.703003343764642,25,0.13291239738464355,,,,0.0018703003343764643,,16.83270300938657
SA,1,5 1 4 2 6 0 7 3,16.27559765317396,21,0.09138727188110352,0.95,6.1816946137582e-38,1000,,,
RRT,1,7 4 5 2 6 0 1 3,15.23335676971778,20,0.0890357494354248,0.125,,,,2.2553745627272375,
GDA,1,7 4 1 5 2 6 0 3,15.645080951138157,21,0.07028603553771973,,,,0.0018703003343764643,,15.940569749888287
SA,2,1 5 2 6 4 0 7 3,12.60555127546399,14,0.06160092353820801,0.95,1.5638096057811211e-27,1000,,,
RRT,2,7 4 5 6 2 1 3 0,16.37825031020934,22,0.06992650032043457,0.125,,,,2.6486680157739673,
GDA,2,7 4 6 5 1 2 0 3,18.703003343764642,25,0.13528943061828613,,,,0.0018703003343764643,,16.83270300938657
