Method,Run,BestSol,EuclideanCost,ManhattanCost,ExecutionTime,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,3 5 6 2 9 0 4 8 1 7,26.425995740095715,35,0.12922072410583496,0.95,5.783502651740954e-59,1000,,,
RRT,0,2 9 4 8 6 3 5 1 7 0,25.83902535197302,33,0.12398195266723633,0.125,,,,4.7713536803729895,
GDA,0,9 7 2 4 8 3 6 5 1 0,47.47516021658346,64,0.10769796371459961,,,,0.004747516021658346,,42.727644194924224
SA,1,2 9 8 4 0 6 1 5 3 7,24.599955260292173,32,0.09010457992553711,0.95,5.512425032778561e-31,1000,,,
RRT,1,9 2 3 5 1 6 0 4 8 7,24.275399939955413,30,0.06660890579223633,0.125,,,,7.598615325634862,
GDA,1,9 7 2 4 8 3 6 5 1 0,47.47516021658346,64,0.10312891006469727,,,,0.004747516021658346,,42.727644194924224
SA,2,5 3 2 9 0 4 8 6 1 7,24.837882267736525,31,0.13676142692565918,0.95,1.2187446950471533e-44,1000,,,
RRT,2,2 9 4 8 6 3 5 1 7 0,25.83902535197302,33,0.11034440994262695,0.125,,,,4.591479745113635,
GDA,2,9 7 2 4 8 3 6 5 1 0,47.47516021658346,64,0.10484433174133301,,,,0.004747516021658346,,42.727644194924224
