Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,3 2 6 8 4 7 9 5 1 0,21.001174407666227,27,0.95,7.415245611323884e-33,1000,,,
RRT,0,3 2 6 8 4 7 9 5 1 0,21.001174407666227,27,0.125,,,,5.3615796017069846,
GDA,0,3 2 8 6 4 9 7 5 1 0,23.38215471084462,29,,,,0.004161016680101495,,35.044082479816026
SA,1,3 2 6 8 4 7 9 5 1 0,21.001174407666227,27,0.95,6.575411371604213e-27,1000,,,
RRT,1,3 2 6 8 4 7 9 5 1 0,21.001174407666227,27,0.125,,,,4.36988908080145,
GDA,1,9 5 7 4 2 3 6 8 0 1,25.615823184997097,34,,,,0.004161016680101495,,34.84435367917119
SA,2,8 4 6 3 2 9 7 5 1 0,22.74266579584201,30,0.95,3.080722154373302e-25,1000,,,
RRT,2,3 2 9 5 7 4 6 8 0 1,21.54203286766569,28,0.125,,,,5.266935716445483,
GDA,2,8 3 2 4 6 9 7 5 1 0,26.33263397995373,34,,,,0.004161016680101495,,36.837480668939435
SA,3,5 7 9 2 3 6 4 8 0 1,22.74266579584201,30,0.95,5.606037289997836e-28,1000,,,
RRT,3,5 9 7 4 6 8 0 2 3 1,22.95624643003878,30,0.125,,,,6.96343132385183,
GDA,3,3 2 6 9 5 7 4 8 0 1,23.19251212075712,30,,,,0.004161016680101495,,29.77207434612842
SA,4,3 2 6 8 4 7 9 5 1 0,21.001174407666227,27,0.95,1.5638096057811211e-27,1000,,,
RRT,4,3 2 9 5 7 4 6 8 0 1,21.54203286766569,28,0.125,,,,3.6351890013274555,
GDA,4,2 3 5 9 7 4 6 8 0 1,24.631691109702025,30,,,,0.004161016680101495,,36.41305696756916
