Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,7 6 4 5 0 3 2 1,42.65429635084108,51,0.95,1000,1000,,,
RRT,0,7 6 4 5 0 3 2 1,42.65429635084108,51,0.125,,,,5.331787043855135,
GDA,0,7 6 4 5 0 3 2 1,42.65429635084108,51,,,,0.004265429635084108,,42.65429635084108
SA,1,7 6 4 5 0 3 2 1,42.65429635084108,51,0.95,1000,1000,,,
RRT,1,7 6 4 5 0 3 2 1,42.65429635084108,51,0.125,,,,5.331787043855135,
GDA,1,7 6 4 5 0 3 2 1,42.65429635084108,51,,,,0.004265429635084108,,42.65429635084108
