Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,4 18 13 31 21 2 22 33 24 15 7 29 23 5 3 9 11 26 16 25 14 27 10 32 30 28 8 20 19 0 17 12 6 1,58.25530461249657,68,0.95,8.288238480900805e-68,1000,,,
RRT,0,25 23 5 27 10 18 30 28 32 16 26 11 3 14 7 2 33 15 24 29 21 31 21 22 20 13 6 12 8 4 19 17 0 1 9,87.6837949504531,109,0.125,,,,6.363506212097184,
GDA,0,33 22 31 21 15 24 7 29 5 23 9 3 11 26 25 16 32 30 28 8 4 20 17 6 12 13 2 18 14 27 10 19 0 1,69.60211415162313,85,,,,0.018647086989521104,,54.41219983544483
SA,1,29 7 15 21 31 2 33 24 27 14 25 5 23 3 9 11 26 16 10 32 30 28 8 4 20 18 22 13 19 0 17 12 6 1,57.29073966182003,69,0.95,2.5822024832780617e-93,1000,,,
RRT,1,5 27 14 7 29 10 25 16 9 3 11 26 32 30 28 8 19 20 17 4 13 33 24 15 22 27 12 6 0 18 2 13 31 21 1 23,82.21608990903418,102,0.125,,,,8.602566641043918,
GDA,1,31 12 17 6 21 29 7 15 2 13 24 33 14 27 16 26 11 9 3 25 23 5 22 18 10 32 28 8 30 4 19 20 0 1,72.99407349520642,85,,,,0.018647086989521104,,57.992440537433545
SA,2,3 9 11 26 16 25 10 32 30 28 8 4 20 18 13 2 22 27 14 5 23 29 7 33 24 15 21 31 12 6 17 19 0 1,55.57596301970118,64,0.95,7.254859798925094e-110,1000,,,
RRT,2,24 15 14 11 3 9 26 16 25 32 22 27 8 28 30 4 20 18 19 10 23 5 33 2 7 29 21 31 12 6 17 13 17 0 1,83.64123355041286,102,0.125,,,,9.892193395184329,
GDA,2,13 17 6 12 19 31 2 15 14 27 25 30 28 8 4 20 10 26 16 11 9 3 23 29 15 24 18 0 22 33 5 7 1 21 32,80.35569624697413,96,,,,0.018647086989521104,,62.9712127636366
SA,3,29 7 15 24 5 23 3 9 11 26 16 25 32 10 14 27 18 30 4 20 13 22 33 2 21 31 12 6 17 19 0 8 28 1,61.513813224320785,72,0.95,3.270625587362681e-124,1000,,,
RRT,3,30 10 18 27 8 28 4 13 6 12 19 20 16 3 25 11 10 32 26 7 23 5 14 33 31 21 24 15 22 0 17 2 1 29 9,94.27230913740581,116,0.125,,,,8.99013116455831,
GDA,3,3 16 25 11 26 32 28 8 4 30 10 5 14 33 15 24 7 29 23 25 27 18 22 2 20 13 17 12 6 0 19 31 21 1 9,74.67336837902324,89,,,,0.018647086989521104,,60.62167980295651
SA,4,3 9 11 26 16 25 5 24 15 33 22 2 13 31 12 6 19 4 8 28 30 32 10 14 27 18 20 0 17 21 1 7 29 23,59.45301732198842,72,0.95,4.474319166118664e-123,1000,,,
RRT,4,9 3 23 7 25 30 8 30 28 20 18 27 26 10 16 11 32 5 14 15 24 13 12 22 2 33 13 19 17 4 0 6 21 31 1 29,90.0194897560822,108,0.125,,,,8.703980497989818,
GDA,4,20 13 12 22 26 16 11 9 3 23 24 15 24 7 5 14 10 27 33 19 17 2 18 25 32 28 8 30 4 0 31 21 1 29 6,81.34106944986762,97,,,,0.018647086989521104,,65.78692289905413
