Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,7 16 14 20 2 19 15 29 30 17 32 13 28 8 25 11 21 33 22 31 5 10 24 18 6 3 27 12 23 26 4 0 9 1,53.46401514758037,63,0.95,1.4876424072612568e-109,1000,,,
RRT,0,15 19 17 28 30 29 20 2 8 11 25 6 3 23 7 14 16 4 26 27 12 10 24 18 22 21 32 13 33 31 5 9 0 1,83.7347433507211,103,0.125,,,,8.795388602387808,
GDA,0,6 23 7 9 21 33 12 14 25 27 13 15 20 17 26 31 5 19 8 4 11 18 28 16 22 24 10 32 2 30 3 29 1 0,183.0403110722545,233,,,,0.01830403110722545,,164.73627996503404
SA,1,11 8 25 14 20 2 19 15 29 32 13 28 21 33 22 31 5 10 24 18 6 3 27 12 23 26 4 16 7 0 9 17 1 30,55.52461333669418,66,0.95,5.090910785253846e-100,1000,,,
RRT,1,24 18 6 3 27 23 12 26 16 4 7 10 33 20 2 19 28 32 30 15 28 13 21 14 17 29 8 9 5 31 22 33 11 0 25 8 1,92.5406626316405,115,0.125,,,,7.107244009486211,
GDA,1,6 23 7 9 21 33 12 14 25 27 13 15 20 17 26 31 5 19 8 4 11 18 28 16 22 24 10 32 2 30 3 29 1 0,183.0403110722545,233,,,,0.01830403110722545,,164.73627996503404
SA,2,19 2 20 7 16 4 26 23 12 27 3 6 18 24 10 9 5 31 22 33 11 25 14 8 28 21 13 32 17 15 29 1 30 0,51.94186033667807,63,0.95,1.9757536680162507e-95,1000,,,
RRT,2,20 14 8 29 30 28 25 17 32 13 2 19 15 4 7 24 10 9 33 31 22 5 18 26 12 23 6 27 3 0 11 21 1 16,90.54908910904972,113,0.125,,,,7.673055320385239,
GDA,2,6 23 7 9 21 33 12 14 25 27 13 15 20 17 26 31 5 19 8 4 11 18 28 16 22 24 10 32 2 30 3 29 1 0,183.0403110722545,233,,,,0.01830403110722545,,164.73627996503404
SA,3,5 31 22 33 21 28 32 13 11 8 25 9 10 24 18 6 3 27 12 23 26 4 16 20 2 19 30 29 17 15 14 7 0 1,54.3821005143629,64,0.95,1.6926496511640392e-86,1000,,,
RRT,3,30 13 21 31 5 24 9 10 3 23 26 4 16 7 2 14 25 8 11 15 17 29 28 8 32 33 22 18 12 27 6 0 20 19 1,84.10243538633993,95,0.125,,,,5.839429287531656,
GDA,3,6 23 7 9 21 33 12 14 25 27 13 15 20 17 26 31 5 19 8 4 11 18 28 16 22 24 10 32 2 30 3 29 1 0,183.0403110722545,233,,,,0.01830403110722545,,164.73627996503404
SA,4,18 6 27 12 23 4 26 7 16 14 20 2 19 15 30 29 17 32 28 13 21 33 22 31 5 11 8 25 9 10 24 3 0 1,55.24868519389847,65,0.95,1.3514564782859073e-53,1000,,,
RRT,4,20 7 2 19 30 29 32 8 11 28 13 5 31 22 33 21 15 17 25 9 10 3 6 18 26 27 12 23 4 24 0 14 16 1,83.26014820183156,105,0.125,,,,8.07780625295247,
GDA,4,6 23 7 9 21 33 12 14 25 27 13 15 20 17 26 31 5 19 8 4 11 18 28 16 22 24 10 32 2 30 3 29 1 0,183.0403110722545,233,,,,0.01830403110722545,,164.73627996503404
