Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,8 5 11 14 15 4 6 7 10 9 16 2 12 3 13 17 1 0,34.19738221987009,43,0.95,1.4830384237961342e-73,1000,,,
RRT,0,8 11 14 13 3 17 16 9 10 2 12 6 7 4 15 0 5 1,44.811375401698996,56,0.125,,,,5.0235613245332065,
GDA,0,11 14 15 4 6 7 10 9 16 17 13 3 2 12 0 5 8 1,32.585258234786615,39,,,,0.00813669000955605,,28.39704813335692
SA,1,17 13 3 2 7 6 4 15 12 11 8 5 0 10 9 16 1 14,37.17761738203302,44,0.95,3.2453793101494056e-34,1000,,,
RRT,1,17 16 9 10 9 13 7 6 4 15 14 11 8 5 0 3 2 12 1,42.529530144785774,54,0.125,,,,5.755421318947336,
GDA,1,6 1 9 15 14 10 7 13 17 16 3 12 4 2 11 0 8 5 1,61.293174947898336,78,,,,0.00813669000955605,,72.73387199542763
SA,2,14 15 4 6 7 10 9 16 17 13 3 2 12 0 11 8 5 1,31.422980574618236,37,0.95,5.9102445386564654e-46,1000,,,
RRT,2,4 15 6 7 10 16 9 1 17 13 3 2 15 14 5 8 11 0 12 1,40.52733584216013,48,0.125,,,,6.592586418676845,
GDA,2,3 16 17 1 9 10 6 7 12 11 14 5 8 2 4 15 0 1 16 13,54.256231227811064,69,,,,0.00813669000955605,,70.19522471244794
SA,3,13 3 2 12 11 5 8 14 15 4 6 7 10 9 16 1 17 0,31.035104559701722,39,0.95,1.9837981709048147e-76,1000,,,
RRT,3,9 10 6 7 2 4 15 14 8 11 5 12 16 3 13 17 1 0,41.469584675122476,52,0.125,,,,4.745212719095009,
GDA,3,12 4 17 16 3 13 10 9 7 14 15 2 6 12 0 11 8 5 1,55.10752624246693,71,,,,0.00813669000955605,,64.92264958625934
SA,4,10 9 16 17 13 3 2 12 4 7 6 15 14 11 0 5 8 1,34.52733584216013,40,0.95,8.70420324503049e-41,1000,,,
RRT,4,6 7 4 15 12 10 16 9 17 13 3 2 11 0 5 8 14 1,40.288592068172996,47,0.125,,,,7.129410332915189,
GDA,4,6 15 4 2 7 10 9 17 3 12 11 8 5 0 13 1 16 14,40.72150927964327,52,,,,0.00813669000955605,,33.29533551911048
