Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,3 2 4 1 0 5,9.56062329783655,12,0.95,2.582690110635572e-29,1000,,,
RRT,0,5 3 2 1 4 0,10.76782893563237,13,0.125,,,,3.3342884807073467,
GDA,0,3 2 4 1 0 5,9.56062329783655,12,,,,0.0017309238592642608,,15.535041636897452
SA,1,3 2 4 1 0 5,9.56062329783655,12,0.95,2.4261652658694265e-31,1000,,,
RRT,1,3 2 4 1 0 5,9.56062329783655,12,0.125,,,,1.8979480050749542,
GDA,1,3 2 4 1 0 5,9.56062329783655,12,,,,0.0017309238592642608,,14.131262387033637
SA,2,3 2 4 1 0 5,9.56062329783655,12,0.95,3.5932026877075983e-25,1000,,,
RRT,2,3 2 4 1 0 5,9.56062329783655,12,0.125,,,,2.583797078714006,
GDA,2,3 2 1 4 1 0 5,10.39834563766817,12,,,,0.0017309238592642608,,15.306559687474488
SA,3,5 3 2 1 4 0,10.76782893563237,13,0.95,3.080722154373302e-25,1000,,,
RRT,3,3 2 4 1 0 5,9.56062329783655,12,0.125,,,,3.1302418289088143,
GDA,3,3 2 4 1 0 5,9.56062329783655,12,,,,0.0017309238592642608,,15.093656052784908
SA,4,3 2 4 1 0 5,9.56062329783655,12,0.95,1.0079694559706559e-23,1000,,,
RRT,4,3 2 4 1 0 5,9.56062329783655,12,0.125,,,,4.193514874122721,
GDA,4,3 2 4 1 0 5,9.56062329783655,12,,,,0.0017309238592642608,,14.825362854598852
