Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,5 2 3 9 0 4 1 8 6 7,21.00389691313216,26,0.95,1.6887192965425444e-59,1000,,,
RRT,0,7 5 2 3 9 0 4 8 1 6,23.13288711762412,30,0.125,,,,4.865514310903336,
GDA,0,6 8 1 7 5 2 3 9 0 4 1,26.306984762977038,33,,,,0.004258357221572783,,36.60909703386048
SA,1,7 2 3 9 0 4 5 1 8 6,21.102916426724942,25,0.95,7.558723109630034e-57,1000,,,
RRT,1,6 8 5 7 2 3 9 0 4 1,25.535880347173805,31,0.125,,,,5.485734593873887,
GDA,1,4 0 3 2 9 0 5 8 1 6 7,24.176317847036067,29,,,,0.004258357221572783,,30.562229779226385
SA,2,3 9 2 5 4 0 1 8 6 7,21.05519988716055,25,0.95,6.860146798822728e-56,1000,,,
RRT,2,7 6 8 5 2 3 9 0 4 1,25.127002538749817,29,0.125,,,,4.035411038279891,
GDA,2,7 4 0 9 3 2 5 8 1 6 0,27.569390088198713,34,,,,0.004258357221572783,,37.98028805920708
SA,3,7 6 8 5 4 0 2 9 3 1,24.187600727863643,27,0.95,1.4364182349939337e-33,1000,,,
RRT,3,3 9 2 7 6 8 5 4 0 1,26.458193116710234,29,0.125,,,,5.027466061218181,
GDA,3,9 3 2 5 4 0 4 8 1 6 7,23.823028822792917,30,,,,0.004258357221572783,,30.732564068089317
SA,4,6 8 5 2 3 9 0 4 1 7,24.12700253874982,30,0.95,2.1409993894257656e-35,1000,,,
RRT,4,6 8 5 2 9 3 0 4 1 7,24.64455688890349,30,0.125,,,,5.909621392399751,
GDA,4,7 2 3 9 4 5 1 8 6 0,24.102916426724942,28,,,,0.004258357221572783,,25.051915534510528
