Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,2 4 15 17 7 11 8 10 5 6 16 12 0 14 13 9 1 3,33.8875239250389,42,0.95,2.1630847007505943e-88,1000,,,
RRT,0,15 11 8 10 4 17 7 14 13 12 16 6 5 0 3 9 1 2,49.417710877140145,62,0.125,,,,6.824244179024669,
GDA,0,4 2 9 14 13 10 6 16 12 3 15 7 11 17 11 8 0 5 1,58.15971508260734,69,,,,0.008424632886976865,,69.52849521623024
SA,1,10 8 11 7 17 15 4 9 2 13 14 0 3 12 16 6 5 1,34.76340381965991,41,0.95,1.9681133779936333e-50,1000,,,
RRT,1,17 7 15 4 11 8 10 5 6 16 13 9 14 0 12 3 2 1,42.88752392503889,53,0.125,,,,4.879566325106348,
GDA,1,8 10 2 4 7 17 9 11 15 13 16 6 5 12 14 3 0 1,52.281444446734625,70,,,,0.008424632886976865,,59.85701666198399
SA,2,8 10 5 6 16 12 13 14 3 2 4 7 11 17 15 1 9 0,36.22794717008058,45,0.95,5.067295911330587e-46,1000,,,
RRT,2,10 8 11 17 15 7 4 9 13 12 16 6 5 14 0 2 3 1,39.582535729320675,49,0.125,,,,8.41370767551625,
GDA,2,7 11 15 17 8 10 5 6 16 12 13 14 0 14 2 9 1 4 3,35.35308717041898,44,,,,0.008424632886976865,,30.303404494464658
SA,3,3 2 9 4 15 7 11 17 8 5 6 16 12 0 14 13 1 10,38.00814731005654,49,0.95,5.0879279755680675e-27,1000,,,
RRT,3,7 11 17 10 5 6 16 12 3 2 9 14 0 13 4 1 8 15,44.33790737645925,54,0.125,,,,7.9729805821012105,
GDA,3,5 6 16 9 4 15 7 11 7 17 4 13 14 3 0 2 15 8 10 1 12,50.63542609234662,67,,,,0.008424632886976865,,57.18640803681192
SA,4,16 6 5 10 8 11 7 17 15 4 9 2 3 0 14 13 12 1,34.531232755292294,43,0.95,1.2334592295747744e-51,1000,,,
RRT,4,4 7 15 17 11 8 10 9 3 12 16 6 5 14 0 2 13 1,44.06033375596309,53,0.125,,,,5.545877675587563,
GDA,4,17 11 2 13 16 7 14 4 8 9 6 12 3 5 15 10 1 0,84.24632886976865,109,,,,0.008424632886976865,,75.8216959827976
