Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,5 4 1 3 2 0,9.26240552495637,13,0.95,9.57570983172123e-24,1000,,,
RRT,0,5 3 4 1 2 0,9.019764837837084,11,0.125,,,,4.3127670958092885,
GDA,0,5 3 4 1 2 0,9.019764837837084,11,,,,0.0015704570789056775,,12.895023074894901
SA,1,2 3 1 4 5 0,9.26240552495637,13,0.95,9.415810108359848e-27,1000,,,
RRT,1,5 3 4 1 2 0,9.019764837837084,11,0.125,,,,2.771008205110255,
GDA,1,5 3 4 1 2 0,9.019764837837084,11,,,,0.0015704570789056775,,13.659835672321861
SA,2,2 3 5 4 1 0,9.848191962583275,13,0.95,2.7960021711154728e-24,1000,,,
RRT,2,5 3 4 1 2 0,9.019764837837084,11,0.125,,,,2.766896088552831,
GDA,2,3 5 4 1 2 0,9.848191962583273,13,,,,0.0015704570789056775,,12.646890856427838
SA,3,2 3 1 4 5 0,9.26240552495637,13,0.95,2.043814020336105e-25,1000,,,
RRT,3,5 3 4 1 2 0,9.019764837837084,11,0.125,,,,2.046459999919555,
GDA,3,5 3 4 1 2 0,9.019764837837084,11,,,,0.0015704570789056775,,12.596636229902863
SA,4,5 3 4 1 2 0,9.019764837837084,11,0.95,3.3754353719190526e-27,1000,,,
RRT,4,3 5 4 1 2 0,9.848191962583273,13,0.125,,,,2.8627239619006475,
GDA,4,5 3 4 1 2 0,9.019764837837084,11,,,,0.0015704570789056775,,12.986109585471418
