Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,7 16 10 2 6 15 14 3 12 5 4 13 11 9 17 8 1 0,34.75430631779304,42,0.95,1.1792956674088596e-59,1000,,,
RRT,0,15 8 17 9 11 13 4 5 12 7 16 3 6 2 10 0 14 1,40.98531778064522,49,0.125,,,,7.424930414452968,
GDA,0,10 7 12 5 4 13 11 9 17 8 15 6 14 16 3 0 1 2,34.23724238516601,41,,,,0.008177806207270055,,28.56507708198498
SA,1,2 10 16 7 12 5 4 11 9 15 6 14 3 0 1 17 8 13,33.078861638129794,42,0.95,4.200688811840702e-52,1000,,,
RRT,1,13 4 5 12 3 8 17 15 6 14 10 16 7 9 11 1 0 2,41.41567280339198,50,0.125,,,,5.49955869453657,
GDA,1,2 14 10 16 7 5 13 11 8 15 3 1 6 0 4 0 1 9 17 12,55.896290937284036,69,,,,0.008177806207270055,,64.43293510707772
SA,2,10 7 16 14 3 6 15 8 17 9 11 13 4 5 12 0 1 2,33.074964724997635,39,0.95,3.055787531396667e-63,1000,,,
RRT,2,10 2 16 7 12 5 13 4 15 6 14 3 11 9 17 8 1 0,39.863048915993744,49,0.125,,,,6.909500029495863,
GDA,2,7 16 3 8 17 9 5 12 14 2 10 13 15 6 3 0 1 4 11,61.108295309513586,78,,,,0.008177806207270055,,71.66211579430572
SA,3,13 4 5 12 7 16 10 2 14 3 6 15 8 17 9 11 1 0,33.84279366063,42,0.95,9.838779907330826e-74,1000,,,
RRT,3,4 13 11 9 17 8 15 2 10 16 7 12 3 14 6 1 0 5,38.94544631766538,48,0.125,,,,8.526413291051176,
GDA,3,10 16 7 12 5 4 13 11 9 17 8 6 14 3 0 1 15 2,32.4209461998975,39,,,,0.008177806207270055,,25.58835562253816
SA,4,10 7 16 14 3 8 17 9 11 13 4 5 12 0 1 15 6 2,34.32690062720235,42,0.95,3.40497326213857e-62,1000,,,
RRT,4,7 16 10 2 15 6 3 17 8 9 11 4 13 5 12 0 1 14,38.76730073279208,48,0.125,,,,6.324232253757064,
GDA,4,10 16 7 2 14 6 3 15 8 17 11 9 13 4 5 12 0 1,39.48260557775123,45,,,,0.008177806207270055,,38.427511367954395
