Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,4 2 5 8 9 6 3 7 0 1,19.2892801989182,24,0.95,3.49646707136457e-39,1000,,,
RRT,0,4 2 5 8 6 9 3 7 0 1,21.15586487845379,26,0.125,,,,5.0775830579181065,
GDA,0,4 2 5 8 9 6 3 7 1 0,21.166174573300538,25,,,,0.00392004200304467,,34.48460950078307
SA,1,4 2 5 8 9 6 3 7 0 1,19.2892801989182,24,0.95,1.6407111113662204e-55,1000,,,
RRT,1,4 2 5 8 9 6 3 7 0 1,19.2892801989182,24,0.125,,,,5.299873271739096,
GDA,1,4 2 5 8 6 9 0 7 3 1,21.391932855953577,27,,,,0.00392004200304467,,29.43951544286363
SA,2,4 2 5 8 9 6 3 7 0 1,19.2892801989182,24,0.95,2.8456882916301715e-30,1000,,,
RRT,2,7 3 6 9 4 2 5 8 0 1,21.6228810461351,27,0.125,,,,4.068047262038384,
GDA,2,2 4 5 0 8 9 6 3 7 0 1,24.13714581248535,29,,,,0.00392004200304467,,35.07653584324293
SA,3,4 2 5 8 9 6 3 7 0 1,19.2892801989182,24,0.95,1.2881125799037105e-25,1000,,,
RRT,3,4 2 5 8 3 6 9 0 7 1,20.142684047920124,25,0.125,,,,5.786089792602323,
GDA,3,4 2 5 8 7 3 6 9 0 1,19.879453805634558,24,,,,0.00392004200304467,,23.52025201826506
SA,4,4 2 5 8 9 6 3 7 0 1,19.2892801989182,24,0.95,1.0316561151064325e-28,1000,,,
RRT,4,4 2 5 8 9 6 3 9 0 7 1,20.36307051624961,25,0.125,,,,6.502048831069998,
GDA,4,4 2 5 9 6 3 7 0 8 1,21.27861284079972,26,,,,0.00392004200304467,,27.47557439933788
