Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,5 3 1 4 0 2,10.39834563766817,12,0.95,3.764063013522077e-35,1000,,,
RRT,0,5 3 1 4 0 2,10.39834563766817,12,0.125,,,,4.542362991827539,
GDA,0,5 3 1 4 0 2,10.39834563766817,12,,,,0.0023291267864660337,,16.643940016083153
SA,1,5 3 1 4 0 2,10.39834563766817,12,0.95,1.230595121116156e-24,1000,,,
RRT,1,5 3 1 0 4 2,11.00389691313216,14,0.125,,,,5.317478859250868,
GDA,1,5 3 1 4 0 2,10.39834563766817,12,,,,0.0023291267864660337,,20.664012849525417
SA,2,2 5 3 1 4 0,11.56062329783655,14,0.95,4.515178035428245e-30,1000,,,
RRT,2,5 3 1 4 0 2,10.39834563766817,12,0.125,,,,4.7383850001798224,
GDA,2,5 3 1 0 4 2,11.00389691313216,14,,,,0.0023291267864660337,,16.553104071410935
SA,3,5 3 1 4 0 2,10.39834563766817,12,0.95,2.962021439752153e-32,1000,,,
RRT,3,2 5 3 1 4 0,11.56062329783655,14,0.125,,,,1.8793569594321455,
GDA,3,2 5 3 1 4 0,11.56062329783655,14,,,,0.0023291267864660337,,20.172567097580853
SA,4,2 5 3 1 4 0,11.56062329783655,14,0.95,1.0433030590980441e-26,1000,,,
RRT,4,5 3 1 4 0 2,10.39834563766817,12,0.125,,,,5.578334937719587,
GDA,4,5 3 1 0 4 2,11.00389691313216,14,,,,0.0023291267864660337,,20.396163269081697
