Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,3 5 6 2 9 0 4 8 1 7,26.425995740095715,35,0.95,5.868060934701127e-29,1000,,,
RRT,0,8 4 9 2 6 3 5 1 7 0,26.669977246818327,34,0.125,,,,6.515803772039292,
GDA,0,7 1 5 3 2 9 4 8 1 6 0,31.74376756414974,39,,,,0.005112198994463994,,44.12338952122355
SA,1,5 3 6 2 9 0 4 8 1 7,26.425995740095715,35,0.95,7.33246530164685e-35,1000,,,
RRT,1,6 3 2 9 0 4 8 1 5 7,26.002684698004014,32,0.125,,,,5.916621475532471,
GDA,1,6 3 5 6 8 4 0 2 9 1 7,31.51805660441253,41,,,,0.005112198994463994,,41.10207991549741
SA,2,2 9 4 8 6 3 5 1 7 0,25.83902535197302,33,0.95,1.1625216033630986e-25,1000,,,
RRT,2,3 2 9 0 4 8 1 6 5 7,26.002684698004014,32,0.125,,,,7.204143269103049,
GDA,2,9 2 4 8 4 6 3 5 1 7 0,28.236981931051552,36,,,,0.005112198994463994,,38.45396083636689
SA,3,2 9 0 4 8 6 1 5 3 7,21.073950245236315,28,0.95,2.3530976799235017e-73,1000,,,
RRT,3,7 8 4 2 9 3 5 6 1 0,29.131066705720652,36,0.125,,,,5.064312246698903,
GDA,3,7 5 3 6 8 4 0 9 2 1,26.764091950405117,33,,,,0.005112198994463994,,25.04466287389224
SA,4,8 4 9 2 0 6 1 5 3 7,26.237370989641196,33,0.95,7.541171655738767e-30,1000,,,
RRT,4,7 5 3 6 8 4 0 9 2 1,26.764091950405117,33,0.125,,,,8.004761432985315,
GDA,4,9 2 4 8 7 5 3 6 0 1,34.1367915182594,41,,,,0.005112198994463994,,45.95866896023486
