Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,8 5 7 2 4 6 9 0 3 1,21.496288123495475,27,0.95,6.729929474225401e-32,1000,,,
RRT,0,2 4 6 9 0 3 1 8 1 5 7,20.877054302287245,27,0.125,,,,5.900364531139086,
GDA,0,8 5 2 4 6 9 3 0 1 7,23.201620920307928,30,,,,0.004167399589161762,,29.20096892125146
SA,1,2 4 6 9 0 3 8 1 5 7,19.848005547048654,25,0.95,1.6942816916438284e-31,1000,,,
RRT,1,2 4 6 9 0 3 8 1 5 7,19.848005547048654,25,0.125,,,,2.7510093744705664,
GDA,1,7 2 4 6 9 0 3 8 1 5,21.010283207217032,27,,,,0.004167399589161762,,20.303570798393405
SA,2,7 2 4 6 5 1 8 0 3 9,18.252001958675734,22,0.95,5.746675050284465e-51,1000,,,
RRT,2,2 4 6 9 0 3 5 8 1 7,22.028242637515376,29,0.125,,,,7.585770935065594,
GDA,2,9 4 2 6 5 8 0 3 1 7,24.679407649266416,32,,,,0.004167399589161762,,34.51857079702263
SA,3,9 6 4 2 5 1 8 0 3 7,18.695275573971344,23,0.95,4.058423848611745e-49,1000,,,
RRT,3,9 6 4 2 7 5 8 3 0 1,22.409316975630396,28,0.125,,,,7.063932665228366,
GDA,3,7 2 5 8 4 6 9 0 3 1,25.967644448401554,34,,,,0.004167399589161762,,36.635609788318064
SA,4,7 2 4 6 5 1 8 0 3 9,18.252001958675734,22,0.95,1.034858815467683e-64,1000,,,
RRT,4,7 2 4 6 5 8 3 0 9 1,22.758347305012318,29,0.125,,,,3.957787541737078,
GDA,4,6 4 2 5 8 1 0 3 9 1 7,27.778112142849402,36,,,,0.004167399589161762,,36.468913804751494
