Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,3 2 5 4 1 0,9.773387165490545,12,0.95,1.519352447454951e-23,1000,,,
RRT,0,3 2 5 4 1 0,9.773387165490545,12,0.125,,,,2.548384833400393,
GDA,0,3 2 5 4 1 0,9.773387165490545,12,,,,0.0019968071579779573,,17.90736659274455
SA,1,3 2 5 4 1 0,9.773387165490545,12,0.95,2.9266860466546367e-25,1000,,,
RRT,1,3 2 5 4 1 0,9.773387165490545,12,0.125,,,,4.186019857340382,
GDA,1,3 2 5 4 1 0,9.773387165490545,12,,,,0.0019968071579779573,,17.815513463477483
SA,2,3 2 5 4 1 0,9.773387165490545,12,0.95,1.0550814919669642e-24,1000,,,
RRT,2,3 2 5 4 1 0,9.773387165490545,12,0.125,,,,2.6068515324707664,
GDA,2,3 2 5 4 1 0,9.773387165490545,12,,,,0.0019968071579779573,,17.22246173755752
SA,3,3 2 5 4 1 0,9.773387165490545,12,0.95,3.0123226250305545e-29,1000,,,
RRT,3,3 2 5 4 1 0,9.773387165490545,12,0.125,,,,2.440596451394638,
GDA,3,3 2 5 4 1 0,9.773387165490545,12,,,,0.0019968071579779573,,16.18412201540809
SA,4,3 2 5 4 1 0,9.773387165490545,12,0.95,1.834217457529801e-26,1000,,,
RRT,4,3 2 5 4 1 0,9.773387165490545,12,0.125,,,,3.000806743355562,
GDA,4,3 2 5 4 1 0,9.773387165490545,12,,,,0.0019968071579779573,,17.669746540944967
