Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,2 3 6 9 4 8 13 11 15 12 17 14 5 10 7 16 0 1,31.172747282920035,36,0.95,1.638170292326759e-37,1000,,,
RRT,0,4 9 15 13 8 11 12 17 14 6 3 2 1 16 7 10 5 0,40.50893066296614,47,0.125,,,,6.666134790603184,
GDA,0,8 13 12 5 11 15 17 15 4 9 6 1 2 3 1 14 16 0 7 10,40.93831411236826,52,,,,0.005603896606153921,,49.600088861068755
SA,1,16 7 10 14 17 12 15 5 11 13 8 4 9 6 1 2 3 0,31.35645109765152,36,0.95,7.675181409944205e-36,1000,,,
RRT,1,4 13 8 11 5 7 16 10 15 12 11 17 14 2 1 9 6 3 0,39.98942587200252,51,0.125,,,,5.867556882438967,
GDA,1,4 13 8 12 11 15 5 17 9 6 1 2 3 14 7 16 0 10,34.2319066312169,42,,,,0.005603896606153921,,30.754184574574303
SA,2,13 8 11 15 5 10 17 12 9 6 1 2 3 14 7 16 0 4,29.970609457455737,36,0.95,2.4318119650483385e-58,1000,,,
RRT,2,16 7 10 5 12 15 11 8 13 4 17 14 6 9 3 1 2 0,35.00796959319478,43,0.125,,,,3.3701108113263394,
GDA,2,5 8 13 4 9 17 14 15 10 16 7 11 12 6 3 1 2 0,42.62247324877153,55,,,,0.005603896606153921,,47.67234842855193
SA,3,6 9 8 13 11 5 10 15 12 17 14 1 2 3 7 16 0 4,33.258668539729115,39,0.95,1.7270643277539163e-55,1000,,,
RRT,3,10 16 7 15 11 5 13 8 4 6 9 14 17 12 2 1 3 0,39.7690304780747,50,0.125,,,,7.7804674451415075,
GDA,3,7 16 10 5 15 9 14 17 12 6 2 3 1 4 13 8 11 0,39.83323799143011,49,,,,0.005603896606153921,,49.54404989500722
SA,4,10 5 15 11 13 8 12 17 9 6 1 2 3 14 7 16 0 4,30.89681914012433,37,0.95,6.778308774090755e-49,1000,,,
RRT,4,16 7 10 5 8 13 4 9 12 15 11 17 14 3 6 2 1 0,38.71893732494058,48,0.125,,,,6.65076310638479,
GDA,4,17 12 9 4 8 13 8 15 5 10 16 7 11 14 6 1 3 2 0,40.198898414842,50,,,,0.005603896606153921,,45.44199757930281
