Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,19 6 25 21 24 8 7 3 18 29 26 33 13 5 23 32 15 12 14 9 10 31 28 11 4 27 16 30 22 17 20 1 2 0,49.81222871041952,58,0.95,6.992883696870333e-80,1000,,,
RRT,0,18 33 13 14 12 31 15 32 23 5 26 10 9 11 20 25 6 24 22 21 8 17 19 4 16 27 30 28 7 3 2 1 29 0,74.66862821171858,91,0.125,,,,7.517830565423701,
GDA,0,4 27 16 30 25 21 19 24 17 6 22 11 20 8 7 29 26 13 33 5 14 23 32 12 15 9 10 31 2 28 1 3 18 0,62.52038593394029,74,,,,0.017796019736128734,,47.10606424155763
SA,1,32 23 15 12 5 33 26 29 18 2 13 14 9 10 31 28 20 11 4 16 27 30 22 19 6 25 21 24 8 17 1 3 7 0,48.03510455970172,56,0.95,1.6208321906310983e-112,1000,,,
RRT,1,33 9 7 18 26 20 22 19 24 6 3 29 13 14 11 27 4 5 12 23 15 32 23 15 10 31 2 1 8 17 25 21 28 16 30 0,89.06599251972776,111,0.125,,,,7.068388354921663,
GDA,1,18 29 26 5 12 23 15 32 14 13 33 7 3 2 10 9 31 28 22 19 25 21 6 30 27 16 4 11 17 24 8 1 20 0,60.685339390596,71,,,,0.017796019736128734,,43.19093989960869
SA,2,18 29 26 33 13 12 23 32 15 5 14 9 10 28 4 16 27 30 11 20 22 19 6 25 21 24 8 17 7 3 2 1 31 0,47.9256814798283,55,0.95,4.718005399615173e-77,1000,,,
RRT,2,21 17 25 8 24 19 6 22 30 4 28 11 7 3 2 33 29 18 26 14 13 10 16 27 9 12 5 23 32 15 31 1 20 17 0,78.64257044261178,101,0.125,,,,6.286983040533752,
GDA,2,8 21 22 19 25 6 27 30 28 17 24 7 9 12 14 5 23 15 32 10 4 16 31 13 33 29 18 26 2 3 1 20 11 0,74.47723201634017,90,,,,0.017796019736128734,,58.29976065558437
SA,3,4 11 28 31 10 9 12 23 32 15 14 5 33 26 13 29 18 2 3 7 8 24 21 25 6 19 22 17 1 20 30 16 27 0,48.271172537201494,57,0.95,6.815176462875361e-112,1000,,,
RRT,3,33 12 9 32 23 15 29 28 30 16 27 4 10 31 13 5 14 26 18 3 11 19 24 6 25 21 20 22 8 17 22 1 2 7 0,76.06828751013231,96,0.125,,,,11.528620606957428,
GDA,3,22 6 19 17 8 24 21 25 30 27 16 10 31 4 28 11 20 9 12 23 32 15 14 2 7 33 29 26 5 13 18 3 1 0,67.32638372204596,81,,,,0.017796019736128734,,51.32372091902081
SA,4,11 20 22 17 24 21 25 6 19 8 7 3 18 29 26 33 13 5 15 32 23 12 14 9 10 31 2 1 28 4 16 27 30 0,47.25140769936441,54,0.95,1.3850986863548124e-140,1000,,,
RRT,4,32 23 12 9 28 11 20 31 10 13 14 5 2 3 29 33 7 17 8 21 24 6 19 25 27 16 4 30 24 22 1 18 26 15 0,78.28953335132599,94,0.125,,,,6.028551532942693,
GDA,4,31 10 14 9 32 23 15 5 12 28 4 16 27 30 22 11 20 7 8 24 25 19 21 6 17 3 26 18 2 1 29 13 33 0,65.66022295978424,78,,,,0.017796019736128734,,53.263487070259146
