run_id,instance_file,ls_method,refinement_heuristics,neighborhoods,initial_method,seed,initial_benefit,final_benefit,improvement,improvement_pct,capacity_remaining,time,evaluations,timestamp
local_search_23,input/prob-software-85-100-812-12180.txt,hill_climbing,['random_best_step'],"['flip_bit', 'swap_bits']",create_ratio_greedy_solution,22,8107,10885,2778,34.26668311335882,36,3.4118213653564453,2421,2025-10-05T14:54:29.861117
local_search_24,input/prob-software-85-100-812-12180.txt,hill_climbing,['random_best_step'],"['flip_bit', 'swap_bits']",create_ratio_greedy_solution,23,8107,10347,2240,27.630442827186382,18,3.167541742324829,2229,2025-10-05T14:54:33.031726
local_search_25,input/prob-software-85-100-812-12180.txt,hill_climbing,['random_best_step'],"['flip_bit', 'swap_bits']",create_ratio_greedy_solution,24,8107,10415,2308,28.469224127297398,21,2.6531693935394287,1784,2025-10-05T14:54:35.688482
local_search_26,input/prob-software-85-100-812-12180.txt,hill_climbing,['random_best_step'],"['flip_bit', 'swap_bits']",create_ratio_greedy_solution,25,8107,8852,745,9.189589243863328,10,1.3836133480072021,968,2025-10-05T14:54:37.075066
local_search_27,input/prob-software-85-100-812-12180.txt,hill_climbing,['random_best_step'],"['flip_bit', 'swap_bits']",create_ratio_greedy_solution,26,8107,9464,1357,16.738620944862465,14,3.1708059310913086,2196,2025-10-05T14:54:40.248987
local_search_28,input/prob-software-85-100-812-12180.txt,hill_climbing,['random_best_step'],"['flip_bit', 'swap_bits']",create_ratio_greedy_solution,27,8107,9402,1295,15.973849759467127,3,2.915898323059082,2044,2025-10-05T14:54:43.168336
local_search_29,input/prob-software-85-100-812-12180.txt,hill_climbing,['random_best_step'],"['flip_bit', 'swap_bits']",create_ratio_greedy_solution,28,8107,9185,1078,13.297150610583447,23,2.7636568546295166,1807,2025-10-05T14:54:45.935600
local_search_30,input/prob-software-85-100-812-12180.txt,hill_climbing,['random_best_step'],"['flip_bit', 'swap_bits']",create_ratio_greedy_solution,29,8107,9848,1741,21.475268286665845,8,2.985377073287964,2020,2025-10-05T14:54:48.924204
local_search_31,input/prob-software-85-100-812-12180.txt,hill_climbing,['first_best_step'],['flip_bit'],create_ratio_greedy_solution,0,8107,8107,0,0.0,58,0.14316105842590332,88,2025-10-05T14:54:49.101849
local_search_32,input/prob-software-85-100-812-12180.txt,hill_climbing,['first_best_step'],['flip_bit'],create_ratio_greedy_solution,1,8107,8107,0,0.0,58,0.147383451461792,88,2025-10-05T14:54:49.253580
local_search_33,input/prob-software-85-100-812-12180.txt,hill_climbing,['first_best_step'],['flip_bit'],create_ratio_greedy_solution,2,8107,8107,0,0.0,58,0.16469502449035645,88,2025-10-05T14:54:49.422025
local_search_34,input/prob-software-85-100-812-12180.txt,hill_climbing,['first_best_step'],['flip_bit'],create_ratio_greedy_solution,3,8107,8107,0,0.0,58,0.1400153636932373,88,2025-10-05T14:54:49.566218
local_search_35,input/prob-software-85-100-812-12180.txt,hill_climbing,['first_best_step'],['flip_bit'],create_ratio_greedy_solution,4,8107,8107,0,0.0,58,0.14409089088439941,88,2025-10-05T14:54:49.713839
local_search_36,input/prob-software-85-100-812-12180.txt,hill_climbing,['first_best_step'],['flip_bit'],create_ratio_greedy_solution,5,8107,8107,0,0.0,58,0.123382568359375,88,2025-10-05T14:54:49.840334
local_search_37,input/prob-software-85-100-812-12180.txt,hill_climbing,['first_best_step'],['flip_bit'],create_ratio_greedy_solution,6,8107,8107,0,0.0,58,0.12410426139831543,88,2025-10-05T14:54:49.967240
local_search_38,input/prob-software-85-100-812-12180.txt,hill_climbing,['first_best_step'],['flip_bit'],create_ratio_greedy_solution,7,8107,8107,0,0.0,58,0.12394928932189941,88,2025-10-05T14:54:50.094657
local_search_39,input/prob-software-85-100-812-12180.txt,hill_climbing,['first_best_step'],['flip_bit'],create_ratio_greedy_solution,8,8107,8107,0,0.0,58,0.13575077056884766,88,2025-10-05T14:54:50.250299
local_search_40,input/prob-software-85-100-812-12180.txt,hill_climbing,['first_best_step'],['flip_bit'],create_ratio_greedy_solution,9,8107,8107,0,0.0,58,0.13677573204040527,88,2025-10-05T14:54:50.391099
local_search_41,input/prob-software-85-100-812-12180.txt,hill_climbing,['first_best_step'],['flip_bit'],create_ratio_greedy_solution,10,8107,8107,0,0.0,58,0.12839484214782715,88,2025-10-05T14:54:50.523146
local_search_42,input/prob-software-85-100-812-12180.txt,hill_climbing,['first_best_step'],['flip_bit'],create_ratio_greedy_solution,11,8107,8107,0,0.0,58,0.12052488327026367,88,2025-10-05T14:54:50.647204
local_search_43,input/prob-software-85-100-812-12180.txt,hill_climbing,['first_best_step'],['flip_bit'],create_ratio_greedy_solution,12,8107,8107,0,0.0,58,0.12215709686279297,88,2025-10-05T14:54:50.772648
local_search_44,input/prob-software-85-100-812-12180.txt,hill_climbing,['first_best_step'],['flip_bit'],create_ratio_greedy_solution,13,8107,8107,0,0.0,58,0.1207735538482666,88,2025-10-05T14:54:50.897120
local_search_45,input/prob-software-85-100-812-12180.txt,hill_climbing,['first_best_step'],['flip_bit'],create_ratio_greedy_solution,14,8107,8107,0,0.0,58,0.12693285942077637,88,2025-10-05T14:54:51.028022
local_search_46,input/prob-software-85-100-812-12180.txt,hill_climbing,['first_best_step'],['flip_bit'],create_ratio_greedy_solution,15,8107,8107,0,0.0,58,0.12165379524230957,88,2025-10-05T14:54:51.153013
local_search_47,input/prob-software-85-100-812-12180.txt,hill_climbing,['first_best_step'],['flip_bit'],create_ratio_greedy_solution,16,8107,8107,0,0.0,58,0.11509132385253906,88,2025-10-05T14:54:51.271228
local_search_48,input/prob-software-85-100-812-12180.txt,hill_climbing,['first_best_step'],['flip_bit'],create_ratio_greedy_solution,17,8107,8107,0,0.0,58,0.11992383003234863,88,2025-10-05T14:54:51.394397
local_search_49,input/prob-software-85-100-812-12180.txt,hill_climbing,['first_best_step'],['flip_bit'],create_ratio_greedy_solution,18,8107,8107,0,0.0,58,0.12440776824951172,88,2025-10-05T14:54:51.522240
local_search_50,input/prob-software-85-100-812-12180.txt,hill_climbing,['first_best_step'],['flip_bit'],create_ratio_greedy_solution,19,8107,8107,0,0.0,58,0.12023782730102539,88,2025-10-05T14:54:51.645374
local_search_51,input/prob-software-85-100-812-12180.txt,hill_climbing,['first_best_step'],['flip_bit'],create_ratio_greedy_solution,20,8107,8107,0,0.0,58,0.12341046333312988,88,2025-10-05T14:54:51.771970
local_search_52,input/prob-software-85-100-812-12180.txt,hill_climbing,['first_best_step'],['flip_bit'],create_ratio_greedy_solution,21,8107,8107,0,0.0,58,0.11983036994934082,88,2025-10-05T14:54:51.895546
local_search_53,input/prob-software-85-100-812-12180.txt,hill_climbing,['first_best_step'],['flip_bit'],create_ratio_greedy_solution,22,8107,8107,0,0.0,58,0.11475276947021484,88,2025-10-05T14:54:52.013288
local_search_54,input/prob-software-85-100-812-12180.txt,hill_climbing,['first_best_step'],['flip_bit'],create_ratio_greedy_solution,23,8107,8107,0,0.0,58,0.11585259437561035,88,2025-10-05T14:54:52.132038
local_search_55,input/prob-software-85-100-812-12180.txt,hill_climbing,['first_best_step'],['flip_bit'],create_ratio_greedy_solution,24,8107,8107,0,0.0,58,0.13610434532165527,88,2025-10-05T14:54:52.271252
local_search_56,input/prob-software-85-100-812-12180.txt,hill_climbing,['first_best_step'],['flip_bit'],create_ratio_greedy_solution,25,8107,8107,0,0.0,58,0.12735629081726074,88,2025-10-05T14:54:52.402127
local_search_57,input/prob-software-85-100-812-12180.txt,hill_climbing,['first_best_step'],['flip_bit'],create_ratio_greedy_solution,26,8107,8107,0,0.0,58,0.12073373794555664,88,2025-10-05T14:54:52.525838
local_search_58,input/prob-software-85-100-812-12180.txt,hill_climbing,['first_best_step'],['flip_bit'],create_ratio_greedy_solution,27,8107,8107,0,0.0,58,0.12712764739990234,88,2025-10-05T14:54:52.656491
local_search_59,input/prob-software-85-100-812-12180.txt,hill_climbing,['first_best_step'],['flip_bit'],create_ratio_greedy_solution,28,8107,8107,0,0.0,58,0.11999392509460449,88,2025-10-05T14:54:52.780561
local_search_60,input/prob-software-85-100-812-12180.txt,hill_climbing,['first_best_step'],['flip_bit'],create_ratio_greedy_solution,29,8107,8107,0,0.0,58,0.11953043937683105,88,2025-10-05T14:54:52.904004
local_search_61,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,"['random_best_step', 'first_best_step']","['flip_bit', 'swap_bits']",create_ratio_greedy_solution,0,8107,11134,3027,37.33810287405945,9,18.843987226486206,12027,2025-10-05T14:55:11.752185
local_search_62,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,"['random_best_step', 'first_best_step']","['flip_bit', 'swap_bits']",create_ratio_greedy_solution,1,8107,10689,2582,31.849019365980016,10,30.001479387283325,20661,2025-10-05T14:55:41.756942
local_search_63,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,"['random_best_step', 'first_best_step']","['flip_bit', 'swap_bits']",create_ratio_greedy_solution,2,8107,10746,2639,32.55211545577895,44,24.75158143043518,16760,2025-10-05T14:56:06.511536
local_search_64,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,"['random_best_step', 'first_best_step']","['flip_bit', 'swap_bits']",create_ratio_greedy_solution,3,8107,10412,2305,28.43221906993956,24,18.316941261291504,12627,2025-10-05T14:56:24.831590
local_search_65,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,"['random_best_step', 'first_best_step']","['flip_bit', 'swap_bits']",create_ratio_greedy_solution,4,8107,11319,3212,39.620081411126186,48,23.466179847717285,15952,2025-10-05T14:56:48.300864
local_search_66,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,"['random_best_step', 'first_best_step']","['flip_bit', 'swap_bits']",create_ratio_greedy_solution,5,8107,10424,2317,28.580239299370913,18,21.00950860977173,14091,2025-10-05T14:57:09.314104
local_search_67,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,"['random_best_step', 'first_best_step']","['flip_bit', 'swap_bits']",create_ratio_greedy_solution,6,8107,11279,3172,39.126680646355,2,15.227178812026978,10526,2025-10-05T14:57:24.545051
local_search_68,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,"['random_best_step', 'first_best_step']","['flip_bit', 'swap_bits']",create_ratio_greedy_solution,7,8107,10922,2815,34.72307882077217,25,18.814749002456665,13081,2025-10-05T14:57:43.363058
local_search_69,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,"['random_best_step', 'first_best_step']","['flip_bit', 'swap_bits']",create_ratio_greedy_solution,8,8107,10845,2738,33.77328234858764,5,26.824378490447998,18329,2025-10-05T14:58:10.191106
local_search_70,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,"['random_best_step', 'first_best_step']","['flip_bit', 'swap_bits']",create_ratio_greedy_solution,9,8107,11279,3172,39.126680646355,2,17.696683645248413,12442,2025-10-05T14:58:27.891892
local_search_71,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,"['random_best_step', 'first_best_step']","['flip_bit', 'swap_bits']",create_ratio_greedy_solution,10,8107,10847,2740,33.797952386826196,11,18.57773447036743,12618,2025-10-05T14:58:46.473223
local_search_72,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,"['random_best_step', 'first_best_step']","['flip_bit', 'swap_bits']",create_ratio_greedy_solution,11,8107,10711,2604,32.12038978660417,9,22.086093187332153,15242,2025-10-05T14:59:08.562989
