run_id,instance_file,run_seed,solution,benefit,starting_find_temp,initial_temp,alpha,beta,gamma,start_time,time,evaluations,capacity_used,timestamp
simulated_annealing_23,input/prob-software-85-100-812-12180.txt,2,1267031370394748205765169773375,10838,1000,1000,0.95,1.125,0.9,1760305212.4634068,27.13270616531372,19996,12152,2025-10-12T18:40:39.596162
simulated_annealing_24,input/sukp03_100_100_0.10_0.75.txt,0,1257734348266022714491187691335,10506,1000,1000,0.95,1.125,0.9,1760305239.749547,30.003265857696533,18026,11210,2025-10-12T18:41:09.752881
simulated_annealing_25,input/sukp03_100_100_0.10_0.75.txt,1,949461296761701865786724712293,11816,1000,1000,0.95,1.125,0.9,1760305269.7533128,30.00226068496704,17581,11207,2025-10-12T18:41:39.755645
simulated_annealing_26,input/sukp03_100_100_0.10_0.75.txt,2,1108565026796929662274812767671,10888,1000,1000,0.95,1.125,0.9,1760305299.7561188,30.001604795455933,18721,11209,2025-10-12T18:42:09.757768
simulated_annealing_27,input/sukp06_200_200_0.10_0.75.txt,0,1594377278183391172359953477473601713608377118239414616374508,0,1125.0,1125.0,0.95,1.125,0.9,1760305329.971938,30.01796579360962,5476,25627,2025-10-12T18:42:39.989997
simulated_annealing_28,input/sukp06_200_200_0.10_0.75.txt,1,200670901541011512372383331972909460251425017207298858024858,367,1125.0,1125.0,0.95,1.125,0.9,1760305359.9902365,30.019226789474487,5382,25630,2025-10-12T18:43:10.009624
simulated_annealing_29,input/sukp06_200_200_0.10_0.75.txt,2,1502553450478721122297547405234836291739981720580981561221643,0,1125.0,1125.0,0.95,1.125,0.9,1760305390.010011,30.01474690437317,5496,25629,2025-10-12T18:43:40.024861
simulated_annealing_30,input/sukp12_400_400_0.10_0.75.txt,0,2541574357492771006680142574713649523804706532170439100188066567654014626457795507774782805031057334036337573982396940279,0,1125.0,1125.0,0.95,1.125,0.9,1760305420.2386968,30.063849687576294,1247,49812,2025-10-12T18:44:10.302870
simulated_annealing_31,input/sukp12_400_400_0.10_0.75.txt,1,2375295608870312592701371683891975768384086672071670989142207817854108457582841773497673752506948161377416677279633554014,0,1125.0,1125.0,0.95,1.125,0.9,1760305450.3138258,30.05597996711731,1178,49818,2025-10-12T18:44:40.369996
simulated_annealing_32,input/sukp12_400_400_0.10_0.75.txt,2,1693645627786120711756671442558227574199643170861595203399067906751965038491284881447555389856639035904251255628000362303,0,1125.0,1125.0,0.95,1.125,0.9,1760305480.3704107,30.089580535888672,1231,49816,2025-10-12T18:45:10.460368
simulated_annealing_33,input/sukp18_100_100_0.15_0.85.txt,0,1228036515426980496506999472127,12475,1000,1000,0.95,1.125,0.9,1760305510.6663208,30.00324821472168,17036,15150,2025-10-12T18:45:40.669625
simulated_annealing_34,input/sukp18_100_100_0.15_0.85.txt,1,1208227059306805504980576829439,12322,1000,1000,0.95,1.125,0.9,1760305540.6700127,30.002674341201782,17477,15089,2025-10-12T18:46:10.672747
simulated_annealing_35,input/sukp18_100_100_0.15_0.85.txt,2,1267640920555117210041147260407,12515,1000,1000,0.95,1.125,0.9,1760305570.6731992,30.002308130264282,17451,15125,2025-10-12T18:46:40.675561
simulated_annealing_36,input/sukp24_300_300_0.15_0.85.txt,0,1145830789987837006111637157618779877621658255934780588676859238798676894416369889021263847,84,1125.0,1125.0,0.95,1.125,0.9,1760305600.8383558,30.042354822158813,2161,45914,2025-10-12T18:47:10.880865
simulated_annealing_37,input/sukp24_300_300_0.15_0.85.txt,1,2019070144034411703099945029145988391752327006093544482791083057655619726227010163679674364,0,1125.0,1125.0,0.95,1.125,0.9,1760305630.8813384,30.049371242523193,2170,45912,2025-10-12T18:47:40.930867
simulated_annealing_38,input/sukp24_300_300_0.15_0.85.txt,2,2026836477055834403902152931557919123846535862846314744366023514789327285091879297644227071,0,1125.0,1125.0,0.95,1.125,0.9,1760305660.9313421,30.049694776535034,2127,45910,2025-10-12T18:48:10.981401
simulated_annealing_39,input/sukp29_500_485_0.15_0.85.txt,0,99891761807622318122655815205739727851098942936214449482920789892965107722317753755927534738889985059400481017640271606812415639458493442901868543,0,1125.0,1125.0,0.95,1.125,0.9,1760305691.1814876,30.159407377243042,640,67494,2025-10-12T18:48:41.341235
simulated_annealing_40,input/sukp29_500_485_0.15_0.85.txt,1,49935401352535084337195460887811747579440518704192379942983700369013641534516579481499848864692439797784454808796024584445364804998715332231921241,0,1125.0,1125.0,0.95,1.125,0.9,1760305721.341825,30.12686252593994,633,67502,2025-10-12T18:49:11.468923
simulated_annealing_41,input/sukp29_500_485_0.15_0.85.txt,2,74921964463300959874456877508523248273262624220087234312161640222935818668088293469990923832473121157199127353038271123955581046302498621908582271,0,1125.0,1125.0,0.95,1.125,0.9,1760305751.4699712,30.148661613464355,637,67492,2025-10-12T18:49:41.619001
