Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,2 3 5 4 1 0,9.848191962583275,13,0.95,2.959727045459651e-23,1000,,,
RRT,0,5 3 4 1 2 0,9.019764837837084,11,0.125,,,,3.972793401307378,
GDA,0,2 4 1 3 5 0,9.82842712474619,13,,,,0.001945623261899998,,16.51250462374535
SA,1,2 3 1 4 5 0,9.26240552495637,13,0.95,3.115502153115422e-23,1000,,,
RRT,1,5 3 4 1 2 0,9.019764837837084,11,0.125,,,,1.7641133359474568,
GDA,1,5 3 4 1 2 0,9.019764837837084,11,,,,0.001945623261899998,,15.374315015533877
SA,2,2 3 5 4 1 0,9.848191962583275,13,0.95,1.9525525960490327e-24,1000,,,
RRT,2,5 3 4 1 2 0,9.019764837837084,11,0.125,,,,2.766896088552831,
GDA,2,5 3 4 1 2 0,9.019764837837084,11,,,,0.001945623261899998,,15.71090783984257
