Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,33 5 15 23 32 12 14 9 10 31 13 29 26 18 2 3 7 17 8 24 21 25 6 19 22 20 1 28 11 4 16 27 30 0,47.9994717971597,55,0.95,3.353308372731527e-83,1000,,,
RRT,0,6 24 25 19 22 28 10 31 11 20 21 17 8 7 29 23 9 32 12 14 13 26 33 15 5 2 3 18 1 4 27 16 30 0,75.74448289986731,92,0.125,,,,5.784892652325395,
GDA,0,30 16 27 12 5 29 13 7 2 3 17 8 24 21 6 25 19 22 11 20 28 4 10 9 23 32 15 14 33 26 18 1 31 0,63.304779848687716,79,,,,0.01582546302684424,,55.49989883512322
SA,1,30 27 16 4 10 9 14 15 32 23 12 5 33 26 29 13 31 28 11 20 22 19 6 25 21 24 8 17 1 2 3 7 18 0,46.413685359532806,54,0.95,3.5120982572565823e-157,1000,,,
RRT,1,16 27 4 30 11 10 9 33 26 29 18 5 15 32 23 12 14 13 31 28 20 24 21 6 19 22 8 25 2 17 3 7 1 0,68.47229939137132,83,0.125,,,,10.039499438617897,
GDA,1,27 16 30 4 12 9 10 2 3 17 20 22 19 6 25 21 24 11 28 31 13 29 18 26 33 23 32 15 5 14 1 7 8 0,62.84461490526091,73,,,,0.01582546302684424,,49.89768492362077
SA,2,19 6 25 21 24 8 17 22 20 11 30 27 16 4 28 31 10 9 14 12 23 32 15 5 13 33 26 29 18 7 3 2 1 0,44.76340381965991,51,0.95,2.8561959916728733e-139,1000,,,
RRT,2,27 16 30 4 11 21 25 24 19 6 17 8 22 20 3 9 32 15 23 28 2 7 29 18 26 33 13 5 14 10 13 1 31 12 2 0,77.48881001243532,98,0.125,,,,6.397801851284337,
GDA,2,18 29 26 9 10 31 13 33 5 15 23 32 12 14 3 7 2 11 20 28 4 30 22 17 8 19 25 24 21 6 16 27 0 1,64.43620734184063,78,,,,0.01582546302684424,,48.83737890082229
