Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,23 5 3 9 11 26 16 32 25 14 10 30 28 8 18 27 33 24 15 7 29 21 31 13 2 22 20 4 0 19 17 12 6 1,60.504518009235355,73,0.95,1.5460600113316472e-93,1000,,,
RRT,0,6 12 17 13 4 20 19 20 7 27 5 33 22 2 31 15 27 24 14 16 18 8 28 30 10 25 32 26 11 9 3 23 29 1 21 0,80.78430765386855,97,0.125,,,,7.521587822497715,
GDA,0,17 6 12 31 21 29 23 14 5 24 7 16 26 9 3 25 27 33 13 22 18 10 32 30 28 8 4 19 0 20 2 15 1 11,72.45541682533572,85,,,,0.017489038251184096,,58.3084535294815
SA,1,6 12 13 17 19 20 18 10 16 25 14 27 22 33 24 5 3 9 11 26 32 30 28 8 4 0 2 31 21 1 15 7 29 23,59.133047045529025,71,0.95,1.911801339548455e-110,1000,,,
RRT,1,31 21 12 19 8 28 30 26 16 25 9 3 11 32 4 10 22 7 24 13 15 5 33 14 23 29 2 20 0 6 17 18 27 1,92.65666717049659,112,0.125,,,,4.860849509924535,
GDA,1,29 7 15 23 10 32 16 9 3 11 26 25 5 14 27 33 22 2 13 20 18 30 8 28 4 19 17 12 6 31 21 1 24 0,64.69249591355107,76,,,,0.017489038251184096,,50.280984972187696
SA,2,20 19 17 6 12 31 13 2 22 18 4 30 8 28 32 26 11 9 3 16 25 10 27 33 24 15 7 14 5 23 29 1 21 0,59.75683111004042,65,0.95,1.5044372360256183e-107,1000,,,
RRT,2,7 14 24 18 20 8 30 28 32 26 11 25 10 5 27 15 16 9 3 23 29 13 19 17 6 4 22 2 33 12 0 31 21 1 14,94.90467902285967,115,0.125,,,,5.2149387132910245,
GDA,2,9 3 11 26 16 25 14 10 32 8 30 28 18 27 33 2 22 24 15 7 5 23 29 21 31 13 12 6 17 0 4 19 20 1,64.79529959697467,76,,,,0.017489038251184096,,48.72446056783225
