Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,5 4 7 8 6 10 2 1 3 11 0 9,30.285052796164294,40,0.95,3.9430479160650745e-45,1000,,,
RRT,0,5 4 9 7 8 6 10 2 3 11 0 1,31.16633450120544,40,0.125,,,,3.5953755622750405,
GDA,0,4 11 7 10 8 6 9 5 3 0 1 2,54.37388708671599,69,,,,0.005437388708671599,,48.936498378044824
SA,1,5 4 7 8 6 10 2 1 3 11 0 9,30.285052796164294,40,0.95,3.939993614528884e-36,1000,,,
RRT,1,9 4 5 7 8 2 10 6 3 0 11 1,30.857460690038987,39,0.125,,,,7.784176209724611,
GDA,1,4 11 7 10 8 6 9 5 3 0 1 2,54.37388708671599,69,,,,0.005437388708671599,,48.936498378044824
SA,2,6 10 8 7 9 4 1 5 3 0 11 2,25.87132965131785,32,0.95,1.5035557729341287e-34,1000,,,
RRT,2,10 6 8 7 9 4 1 5 3 0 11 2,26.31460326661346,33,0.125,,,,7.233803295372213,
GDA,2,4 11 7 10 8 6 9 5 3 0 1 2,54.37388708671599,69,,,,0.005437388708671599,,48.936498378044824
