Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,3 2 9 5 7 4 6 8 0 1,21.54203286766569,28,0.95,1.0433030590980441e-26,1000,,,
RRT,0,3 2 9 5 7 4 6 8 0 1,21.54203286766569,28,0.125,,,,4.834344904845,
GDA,0,3 2 5 7 9 4 6 8 0 1,22.398411694139188,28,,,,0.0046870590770426825,,30.36745576016026
SA,1,3 2 6 8 4 7 9 5 1 0,21.001174407666227,27,0.95,8.216338627505689e-33,1000,,,
RRT,1,3 2 7 5 9 4 6 8 0 1,23.185741697919077,30,0.125,,,,6.946315564212684,
GDA,1,3 2 9 5 7 4 6 8 0 1,21.54203286766569,28,,,,0.0046870590770426825,,24.396142496008146
SA,2,5 7 9 2 3 6 4 8 0 1,22.74266579584201,30,0.95,2.9431601801215504e-24,1000,,,
RRT,2,3 2 9 5 7 6 4 8 0 1,23.27998498383277,30,0.125,,,,6.346272558117695,
GDA,2,5 9 4 7 2 3 6 0 8 1,26.059096800292707,35,,,,0.0046870590770426825,,37.791757338195545
