Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,10 6 7 11 4 5 9 0 8 3 2 1,27.922142207819594,36,0.95,6.575411371604213e-27,1000,,,
RRT,0,8 6 7 9 5 4 1 11 10 2 3 0,31.100007505724385,40,0.125,,,,2.2400373064084573,
GDA,0,8 6 10 7 4 5 11 1 9 0 2 3,35.54579459343518,45,,,,0.004812639164964378,,42.8469264856745
SA,1,8 7 5 9 4 1 11 10 6 2 3 0,29.133388832834694,36,0.95,6.612423952663082e-26,1000,,,
RRT,1,10 6 7 11 4 5 9 0 8 2 3 1,28.158210185319383,37,0.125,,,,9.296842231300577,
GDA,1,11 7 10 7 5 1 4 9 0 8 2 6 3,31.88553625929676,40,,,,0.004812639164964378,,33.625909845596894
SA,2,10 6 7 5 4 1 9 0 8 3 2 11,27.650441467777792,34,0.95,1.282889152681214e-44,1000,,,
RRT,2,6 7 9 4 1 11 5 8 3 2 6 10 0,31.608693321193172,39,0.125,,,,4.477613743866959,
GDA,2,9 7 10 6 11 5 4 1 0 8 3 2,35.62193001789749,45,,,,0.004812639164964378,,43.15493539223242
