Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,4 2 0 1 6 5 3 7,11.22677276241436,14,0.95,1.3977472176967838e-47,1000,,,
RRT,0,4 5 3 6 1 0 2 7,13.84161925296378,18,0.125,,,,7.854257295471847,
GDA,0,7 6 5 4 2 1 3 0,29.255264212817174,40,,,,0.0029255264212817173,,26.32973779153432
SA,1,4 2 0 1 6 5 3 7,11.22677276241436,14,0.95,7.039026644276358e-24,1000,,,
RRT,1,4 2 1 0 1 6 5 3 7,13.15298244508295,16,0.125,,,,4.117198616966121,
GDA,1,7 6 5 4 2 1 3 0,29.255264212817174,40,,,,0.0029255264212817173,,26.32973779153432
SA,2,6 5 3 4 2 0 1 7,15.883627011906741,21,0.95,1.3754724215295055e-59,1000,,,
RRT,2,4 5 3 5 3 6 0 1 2 7,17.182042498005465,22,0.125,,,,6.503339389279196,
GDA,2,7 6 5 4 2 1 3 0,29.255264212817174,40,,,,0.0029255264212817173,,26.32973779153432
