Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,10 11 14 12 8 7 15 9 0 13 2 5 6 3 4 1,35.111660814302525,44,0.95,3.791121652686233e-52,1000,,,
RRT,0,14 10 11 10 12 7 8 15 7 5 4 3 6 2 13 0 9 1,36.641472570386085,44,0.125,,,,6.129253460262533,
GDA,0,10 14 13 15 11 8 9 12 7 5 1 0 3 4 6 2,78.53639375887093,96,,,,0.007853639375887093,,70.68275438298991
SA,1,13 9 14 11 10 12 4 3 8 7 15 5 6 2 0 1,32.52622746881664,39,0.95,3.303051049172285e-40,1000,,,
RRT,1,3 12 14 10 11 9 2 13 0 2 8 5 15 7 6 3 4 1,37.28062768019184,49,0.125,,,,6.700173401746611,
GDA,1,10 14 13 15 11 8 9 12 7 5 1 0 3 4 6 2,78.53639375887093,96,,,,0.007853639375887093,,70.68275438298991
SA,2,9 14 11 10 12 8 7 15 13 0 2 5 6 3 4 1,33.766616720504224,39,0.95,2.67737054794643e-50,1000,,,
RRT,2,9 14 11 10 11 15 8 2 13 0 2 5 7 12 4 3 6 2 1,44.13733697413881,52,0.125,,,,6.892398197212585,
GDA,2,10 14 13 15 11 8 9 12 7 5 1 0 3 4 6 2,78.53639375887093,96,,,,0.007853639375887093,,70.68275438298991
