Method,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,[3, 2, 5, 4, 1, 0],9.773387165490545,12,0.95,1.722078277288059e-220,1000,,,
RRT,[3, 2, 5, 4, 1, 0],9.773387165490545,12,0.125,,,,5.620753084361509,
GDA,[3, 2, 5, 4, 1, 0],9.773387165490545,12,,,,0.0012469413449533646,,-1.6617957010467421e-12
SA,[3, 2, 5, 4, 1, 0],9.773387165490545,12
RRT,[3, 2, 5, 5, 4, 1, 0],9.773387165490545,12
GDA,[3, 2, 5, 5, 4, 1, 0],9.773387165490545,12
SA,[3, 2, 2, 5, 4, 1, 0],9.773387165490545,12
RRT,[3, 2, 5, 4, 1, 0],9.773387165490545,12
GDA,[3, 2, 5, 4, 1, 0],9.773387165490545,12
SA,[3, 3, 2, 5, 4, 1, 0],9.773387165490545,12
RRT,[3, 2, 5, 4, 1, 0],9.773387165490545,12
GDA,[3, 2, 5, 4, 1, 0],9.773387165490545,12
SA,[3, 2, 5, 4, 1, 1, 0],9.773387165490545,12
RRT,[3, 2, 5, 4, 1, 1, 0],9.773387165490545,12
GDA,[3, 2, 5, 4, 1, 1, 0],9.773387165490545,12
