Method,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,[13, 23, 21, 11, 15, 22, 16, 14, 10, 12, 19, 9, 18, 20, 17, 8, 3, 6, 1, 0, 5, 7, 4, 2],115.04530316702741,146,0.95,1000,1000,,,
RRT,[13, 23, 21, 11, 15, 22, 16, 14, 10, 12, 19, 9, 18, 20, 17, 8, 3, 6, 1, 0, 5, 7, 4, 2],115.04530316702741,146,0.125,,,,14.380662895878427,
GDA,[13, 23, 21, 11, 15, 22, 16, 14, 10, 12, 19, 9, 18, 20, 17, 8, 3, 6, 1, 0, 5, 7, 4, 2],115.04530316702741,146,,,,0.011504530316702741,,115.04530316702741
SA,[13, 23, 21, 11, 15, 22, 16, 14, 10, 12, 19, 9, 18, 20, 17, 8, 3, 6, 1, 0, 5, 7, 4, 2],115.04530316702741,146
RRT,[13, 23, 21, 11, 15, 22, 16, 14, 10, 12, 19, 9, 18, 20, 17, 8, 3, 6, 1, 0, 5, 7, 4, 2],115.04530316702741,146
GDA,[13, 23, 21, 11, 15, 22, 16, 14, 10, 12, 19, 9, 18, 20, 17, 8, 3, 6, 1, 0, 5, 7, 4, 2],115.04530316702741,146
SA,[13, 23, 21, 11, 15, 22, 16, 14, 10, 12, 19, 9, 18, 20, 17, 8, 3, 6, 1, 0, 5, 7, 4, 2],115.04530316702741,146
RRT,[13, 23, 21, 11, 15, 22, 16, 14, 10, 12, 19, 9, 18, 20, 17, 8, 3, 6, 1, 0, 5, 7, 4, 2],115.04530316702741,146
GDA,[13, 23, 21, 11, 15, 22, 16, 14, 10, 12, 19, 9, 18, 20, 17, 8, 3, 6, 1, 0, 5, 7, 4, 2],115.04530316702741,146
SA,[13, 23, 21, 11, 15, 22, 16, 14, 10, 12, 19, 9, 18, 20, 17, 8, 3, 6, 1, 0, 5, 7, 4, 2],115.04530316702741,146
RRT,[13, 23, 21, 11, 15, 22, 16, 14, 10, 12, 19, 9, 18, 20, 17, 8, 3, 6, 1, 0, 5, 7, 4, 2],115.04530316702741,146
GDA,[13, 23, 21, 11, 15, 22, 16, 14, 10, 12, 19, 9, 18, 20, 17, 8, 3, 6, 1, 0, 5, 7, 4, 2],115.04530316702741,146
SA,[13, 23, 21, 11, 15, 22, 16, 14, 10, 12, 19, 9, 18, 20, 17, 8, 3, 6, 1, 0, 5, 7, 4, 2],115.04530316702741,146
RRT,[13, 23, 21, 11, 15, 22, 16, 14, 10, 12, 19, 9, 18, 20, 17, 8, 3, 6, 1, 0, 5, 7, 4, 2],115.04530316702741,146
GDA,[13, 23, 21, 11, 15, 22, 16, 14, 10, 12, 19, 9, 18, 20, 17, 8, 3, 6, 1, 0, 5, 7, 4, 2],115.04530316702741,146
