Method,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,[3, 2, 4, 5, 5, 1, 0],10.79669127533634,14,0.95,1.722078277288059e-220,1000,,,
RRT,[3, 2, 4, 5, 1, 0],10.79669127533634,14,0.125,,,,3.916166481427674,
GDA,[3, 2, 4, 5, 1, 0],10.79669127533634,14,,,,0.0017518728757819893,,-4.294227300138953e-12
SA,[3, 3, 2, 4, 4, 4, 5, 1, 0],10.79669127533634,14
RRT,[3, 2, 4, 4, 5, 1, 0],10.79669127533634,14
GDA,[3, 2, 4, 4, 5, 1, 0],10.79669127533634,14
SA,[3, 2, 4, 5, 5, 1, 1, 0],10.79669127533634,14
RRT,[3, 2, 4, 5, 1, 0],10.79669127533634,14
GDA,[3, 2, 4, 5, 1, 0],10.79669127533634,14
SA,[3, 2, 4, 4, 5, 1, 0],10.79669127533634,14
RRT,[3, 2, 4, 5, 1, 1, 0],10.79669127533634,14
GDA,[3, 2, 4, 5, 1, 1, 0],10.79669127533634,14
SA,[3, 3, 2, 4, 4, 4, 4, 5, 1, 0],10.79669127533634,14
RRT,[3, 2, 4, 4, 5, 1, 0],10.79669127533634,14
GDA,[3, 2, 4, 5, 1, 0],10.79669127533634,14
