Method,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,[13, 11, 12, 14, 10, 15, 9, 8, 7, 3, 4, 1, 2, 0, 6, 5],67.71080049664654,87,0.95,1000,1000,,,
RRT,[13, 11, 12, 14, 10, 15, 9, 8, 7, 3, 4, 1, 2, 0, 6, 5],67.71080049664654,87,0.125,,,,8.463850062080818,
GDA,[13, 11, 12, 14, 10, 15, 9, 8, 7, 3, 4, 1, 2, 0, 6, 5],67.71080049664654,87,,,,0.006771080049664654,,67.71080049664654
SA,[13, 11, 12, 14, 10, 15, 9, 8, 7, 3, 4, 1, 2, 0, 6, 5],67.71080049664654,87
RRT,[13, 11, 12, 14, 10, 15, 9, 8, 7, 3, 4, 1, 2, 0, 6, 5],67.71080049664654,87
GDA,[13, 11, 12, 14, 10, 15, 9, 8, 7, 3, 4, 1, 2, 0, 6, 5],67.71080049664654,87
SA,[13, 11, 12, 14, 10, 15, 9, 8, 7, 3, 4, 1, 2, 0, 6, 5],67.71080049664654,87
RRT,[13, 11, 12, 14, 10, 15, 9, 8, 7, 3, 4, 1, 2, 0, 6, 5],67.71080049664654,87
GDA,[13, 11, 12, 14, 10, 15, 9, 8, 7, 3, 4, 1, 2, 0, 6, 5],67.71080049664654,87
SA,[13, 11, 12, 14, 10, 15, 9, 8, 7, 3, 4, 1, 2, 0, 6, 5],67.71080049664654,87
RRT,[13, 11, 12, 14, 10, 15, 9, 8, 7, 3, 4, 1, 2, 0, 6, 5],67.71080049664654,87
GDA,[13, 11, 12, 14, 10, 15, 9, 8, 7, 3, 4, 1, 2, 0, 6, 5],67.71080049664654,87
SA,[13, 11, 12, 14, 10, 15, 9, 8, 7, 3, 4, 1, 2, 0, 6, 5],67.71080049664654,87
RRT,[13, 11, 12, 14, 10, 15, 9, 8, 7, 3, 4, 1, 2, 0, 6, 5],67.71080049664654,87
GDA,[13, 11, 12, 14, 10, 15, 9, 8, 7, 3, 4, 1, 2, 0, 6, 5],67.71080049664654,87
