Method,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,[3, 2, 4, 1, 1, 1, 0, 5],9.56062329783655,12,0.95,1.722078277288059e-220,1000,,,
RRT,[3, 3, 2, 4, 1, 1, 1, 0, 5],9.56062329783655,12,0.125,,,,2.188581169040276,
GDA,[5, 3, 2, 4, 1, 0],10.930106595800748,14,,,,0.0010930106595800747,,-9.757906288543339e-13
SA,[3, 2, 4, 4, 4, 4, 1, 0, 5],9.56062329783655,12
RRT,[3, 2, 4, 1, 1, 1, 0, 5],9.56062329783655,12
GDA,[5, 3, 2, 4, 1, 0],10.930106595800748,14
SA,[3, 3, 2, 4, 1, 1, 0, 5],9.56062329783655,12
RRT,[3, 2, 2, 4, 1, 0, 5],9.56062329783655,12
GDA,[5, 3, 2, 4, 1, 0],10.930106595800748,14
SA,[3, 3, 3, 2, 4, 1, 0, 5],9.56062329783655,12
RRT,[3, 2, 4, 1, 1, 0, 5],9.56062329783655,12
GDA,[5, 3, 2, 1, 1, 4, 0],10.76782893563237,13
SA,[3, 3, 3, 2, 4, 1, 0, 0, 5],9.56062329783655,12
RRT,[3, 2, 4, 1, 1, 1, 1, 1, 0, 5],9.56062329783655,12
GDA,[5, 3, 2, 4, 1, 0],10.930106595800748,14
