Method,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,[6, 1, 1, 1, 1, 1, 7, 7, 4, 3, 0, 5, 2],17.64455688890349,21,0.95,1.722078277288059e-220,1000,,,
RRT,[4, 3, 3, 3, 3, 3, 0, 5, 7, 1, 6, 2],18.620470776878616,22,0.125,,,,7.42772391244984,
GDA,[5, 6, 7, 4, 3, 1, 2, 0],27.980406387751746,34,,,,0.0027980406387751746,,-2.5163855374432664e-12
SA,[7, 4, 4, 3, 3, 3, 0, 5, 6, 1, 2],19.867444035869614,24
RRT,[6, 6, 6, 6, 1, 1, 7, 5, 0, 4, 3, 2],18.497365151260954,21
GDA,[5, 6, 7, 4, 3, 1, 2, 0],27.980406387751746,34
SA,[3, 3, 3, 3, 3, 4, 0, 5, 7, 1, 6, 2],18.497365151260954,21
RRT,[7, 7, 7, 4, 3, 3, 0, 5, 6, 1, 2],19.867444035869614,24
GDA,[5, 6, 7, 4, 3, 1, 2, 0],27.980406387751746,34
SA,[6, 1, 1, 1, 1, 1, 7, 4, 3, 0, 5, 2],17.64455688890349,21
RRT,[7, 1, 1, 1, 1, 1, 6, 5, 0, 4, 3, 2],18.783510444802673,22
GDA,[5, 6, 7, 4, 3, 1, 2, 0],27.980406387751746,34
SA,[5, 5, 5, 5, 5, 6, 1, 7, 4, 3, 0, 2],20.029721696037996,25
RRT,[4, 4, 3, 3, 3, 7, 1, 6, 5, 5, 0, 2],19.88252995839546,24
GDA,[5, 6, 7, 4, 3, 1, 2, 0],27.980406387751746,34
