Method,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,[4, 9, 9, 9, 9, 10, 1, 1, 11, 6, 5, 0, 7, 3, 8, 2],27.139459827243613,35,0.95,1.722078277288059e-220,1000,,,
RRT,[8, 4, 9, 9, 9, 10, 1, 11, 6, 6, 5, 0, 7, 3, 2],30.288556656878324,39,0.125,,,,10.440049065471708,
GDA,[11, 9, 10, 4, 8, 8, 8, 8, 3, 7, 0, 5, 6, 11, 2, 1],32.39953134301831,41,,,,0.006503453084424113,,-1.288186224357446e-11
SA,[4, 4, 10, 9, 9, 9, 9, 9, 3, 7, 0, 5, 6, 11, 2, 1, 8],27.415387970039315,34
RRT,[5, 6, 6, 11, 9, 10, 1, 4, 8, 3, 7, 7, 0, 2],30.045915969759044,37
GDA,[5, 5, 6, 11, 9, 10, 1, 4, 8, 8, 3, 3, 3, 3, 7, 0, 2],30.045915969759044,37
SA,[5, 6, 6, 11, 9, 10, 1, 1, 4, 8, 3, 7, 0, 2],30.045915969759044,37
RRT,[10, 4, 9, 1, 1, 1, 1, 11, 6, 5, 0, 7, 3, 8, 2],30.049801585207273,39
GDA,[5, 6, 6, 11, 9, 10, 1, 4, 8, 3, 7, 0, 2],30.045915969759044,37
SA,[10, 10, 9, 6, 5, 5, 5, 7, 3, 8, 4, 1, 2, 11, 0],31.98697909737124,39
RRT,[5, 6, 11, 9, 10, 1, 1, 4, 8, 3, 7, 0, 2],30.045915969759044,37
GDA,[5, 6, 9, 11, 2, 2, 1, 10, 4, 8, 3, 7, 0, 2],31.1690215953767,39
SA,[10, 10, 9, 6, 5, 5, 7, 3, 3, 8, 4, 1, 2, 11, 0],31.98697909737124,39
RRT,[5, 5, 6, 11, 9, 10, 1, 4, 8, 3, 7, 0, 2],30.045915969759044,37
GDA,[8, 9, 9, 9, 11, 6, 5, 5, 5, 0, 0, 7, 3, 10, 1, 2, 2, 4],33.246351162568544,43
