Method,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,[10, 10, 16, 7, 12, 12, 5, 4, 13, 11, 9, 17, 8, 15, 6, 14, 3, 0, 1, 2],31.045904672075125,37,0.95,1.722078277288059e-220,1000,,,
RRT,[7, 16, 16, 10, 2, 14, 3, 14, 6, 15, 8, 17, 9, 11, 4, 5, 12, 0, 1, 13],35.2570072230031,44,0.125,,,,5.93544055961149,
GDA,[10, 2, 6, 15, 8, 17, 9, 11, 13, 4, 5, 12, 7, 16, 14, 3, 0, 1],34.014366535883816,41,,,,0.008277759243745061,,3.806510662229812e-12
SA,[8, 17, 9, 11, 13, 4, 5, 12, 7, 16, 10, 2, 6, 15, 14, 3, 3, 0, 1],33.08815685321522,40
RRT,[5, 12, 4, 11, 9, 17, 8, 15, 6, 6, 3, 14, 2, 10, 16, 7, 0, 1, 13],36.753135418593665,46
GDA,[2, 10, 16, 7, 7, 12, 5, 13, 4, 11, 9, 17, 8, 15, 6, 14, 0, 3, 1],32.96943855825637,41
SA,[8, 17, 9, 11, 13, 4, 5, 12, 7, 10, 16, 16, 14, 14, 3, 3, 3, 6, 15, 1, 0, 2],32.72524626487052,40
RRT,[9, 11, 4, 4, 13, 5, 5, 5, 12, 6, 3, 14, 10, 7, 7, 16, 0, 15, 1, 17, 8, 2],39.14758414312968,47
GDA,[10, 7, 7, 7, 16, 14, 6, 6, 6, 6, 8, 17, 9, 11, 4, 13, 4, 5, 12, 0, 3, 1, 15, 2],33.43413832811508,41
SA,[10, 16, 7, 12, 5, 4, 13, 11, 9, 17, 8, 15, 6, 14, 14, 3, 0, 1, 2],31.045904672075125,37
RRT,[2, 8, 8, 17, 9, 11, 4, 13, 5, 12, 7, 16, 14, 14, 6, 6, 15, 1, 3, 0, 10],34.68689099686257,42
GDA,[9, 11, 13, 4, 5, 12, 1, 15, 6, 6, 6, 2, 10, 16, 14, 3, 0, 1, 17, 8, 7],36.8767238126655,47
SA,[13, 4, 5, 12, 7, 7, 10, 16, 14, 14, 6, 15, 15, 8, 17, 9, 11, 1, 3, 0, 2],31.709378340165593,40
RRT,[12, 5, 4, 11, 9, 9, 8, 17, 17, 15, 2, 7, 16, 10, 14, 6, 3, 0, 0, 1, 13],40.52733584216013,46
GDA,[2, 2, 10, 16, 14, 6, 15, 8, 17, 9, 11, 5, 4, 4, 4, 12, 7, 0, 3, 1, 13],36.61972009812925,46
