Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],11, 20, 18, 8, 13, 14, 16, 23
RRT,0,[],11, 20, 18, 8, 13, 14, 16, 23
GDA,0,[],11, 20, 18, 8, 13, 14, 16, 23
SA,1,[],11, 20, 18, 8, 13, 14, 16, 23
RRT,1,[],11, 20, 18, 8, 13, 14, 16, 23
GDA,1,[],11, 20, 18, 8, 13, 14, 16, 23
SA,2,[],11, 20, 18, 8, 13, 14, 16, 23
RRT,2,[],11, 20, 18, 8, 13, 14, 16, 23
GDA,2,[],11, 20, 18, 8, 13, 14, 16, 23
SA,3,[],11, 20, 18, 8, 13, 14, 16, 23
RRT,3,[],11, 20, 18, 8, 13, 14, 16, 23
GDA,3,[],11, 20, 18, 8, 13, 14, 16, 23
SA,4,[],11, 20, 18, 8, 13, 14, 16, 23
RRT,4,[],11, 20, 18, 8, 13, 14, 16, 23
GDA,4,[],11, 20, 18, 8, 13, 14, 16, 23
