Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],28, 8, 30, 32, 16, 26, 11, 9
RRT,0,[],32, 28, 30, 18, 10, 25, 16, 26
GDA,0,[],16, 16, 3, 9, 9, 11, 26, 30
SA,1,[],7, 15, 24, 27, 14, 5, 23, 3
RRT,1,[],11, 9, 3, 5, 27, 14, 10, 4
GDA,1,[],29, 15, 7, 24, 33, 24, 14, 25
SA,2,[],11, 9, 3, 3, 23, 5, 14, 25
RRT,2,[],28, 32, 10, 30, 8, 4, 18, 15
GDA,2,[],9, 9, 3, 11, 16, 25, 32, 28
SA,3,[],29, 23, 3, 9, 11, 26, 32, 16
RRT,3,[],26, 32, 25, 16, 14, 33, 5, 27
GDA,3,[],28, 30, 8, 4, 13, 6, 12, 31
SA,4,[],23, 5, 14, 24, 15, 7, 29, 21
RRT,4,[],3, 9, 3, 23, 33, 15, 21, 31
GDA,4,[],31, 2, 22, 20, 13, 19, 17, 6
