Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],5, 4, 10, 6, 8, 11, 11, 11
RRT,0,[],11, 8, 6, 5, 5, 4, 10, 10
GDA,0,[],11, 8, 6, 6, 6, 5, 4, 4
SA,1,[],8, 11, 7, 7, 9, 0, 0, 0
RRT,1,[],5, 4, 4, 10, 6, 8, 11, 2
GDA,1,[],8, 11, 7, 1, 6, 6, 5, 4
SA,2,[],5, 4, 4, 10, 6, 8, 8, 11
RRT,2,[],5, 5, 4, 4, 4, 10, 10, 6
GDA,2,[],11, 8, 8, 6, 6, 10, 4, 5
SA,3,[],11, 8, 6, 5, 5, 5, 5, 5
RRT,3,[],4, 10, 6, 6, 8, 11, 2, 2
GDA,3,[],5, 4, 10, 10, 6, 6, 8, 11
SA,4,[],5, 4, 10, 6, 6, 8, 11, 2
RRT,4,[],4, 5, 10, 10, 6, 8, 11, 2
GDA,4,[],11, 11, 8, 6, 4, 5, 4, 10
