Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],20, 30, 7, 32, 35, 22, 10, 24
RRT,0,[],12, 14, 11, 15, 15, 25, 21, 5
GDA,0,[],35, 22, 27, 10, 26, 23, 33, 1
SA,1,[],29, 19, 27, 22, 35, 10, 26, 28
RRT,1,[],15, 4, 1, 25, 21, 5, 33, 28
GDA,1,[],10, 35, 22, 27, 23, 32, 7, 14
SA,2,[],21, 25, 15, 4, 5, 33, 33, 28
RRT,2,[],15, 4, 33, 34, 6, 11, 5, 21
GDA,2,[],21, 25, 15, 5, 28, 26, 24, 10
SA,3,[],10, 35, 22, 27, 29, 19, 23, 26
RRT,3,[],16, 13, 13, 18, 32, 35, 10, 22
GDA,3,[],18, 13, 14, 18, 31, 9, 17, 8
SA,4,[],20, 20, 16, 3, 12, 6, 34, 11
RRT,4,[],10, 26, 22, 35, 27, 23, 19, 33
GDA,4,[],9, 9, 9, 8, 17, 21, 25, 5
