Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],10, 10, 16, 7, 12, 12, 5, 4
RRT,0,[],7, 16, 16, 10, 2, 14, 3, 14
GDA,0,[],10, 2, 6, 15, 8, 17, 9, 11
SA,1,[],8, 17, 9, 11, 13, 4, 5, 12
RRT,1,[],5, 12, 4, 11, 9, 17, 8, 15
GDA,1,[],2, 10, 16, 7, 7, 12, 5, 13
SA,2,[],8, 17, 9, 11, 13, 4, 5, 12
RRT,2,[],9, 11, 4, 4, 13, 5, 5, 5
GDA,2,[],10, 7, 7, 7, 16, 14, 6, 6
SA,3,[],10, 16, 7, 12, 5, 4, 13, 11
RRT,3,[],2, 8, 8, 17, 9, 11, 4, 13
GDA,3,[],9, 11, 13, 4, 5, 12, 1, 15
SA,4,[],13, 4, 5, 12, 7, 7, 10, 16
RRT,4,[],12, 5, 4, 11, 9, 9, 8, 17
GDA,4,[],2, 2, 10, 16, 14, 6, 15, 8
