Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],32, 23, 15, 12, 14, 5, 33, 26
RRT,0,[],26, 33, 29, 18, 31, 10, 3, 7
GDA,0,[],5, 30, 18, 32, 17, 26, 22, 7
SA,1,[],32, 23, 15, 12, 14, 5, 33, 26
RRT,1,[],24, 8, 6, 25, 21, 19, 2, 14
GDA,1,[],5, 30, 18, 32, 17, 26, 22, 7
SA,2,[],23, 32, 32, 15, 5, 14, 12, 9
RRT,2,[],17, 8, 21, 25, 22, 6, 24, 19
GDA,2,[],14, 5, 9, 32, 23, 15, 12, 10
SA,3,[],27, 16, 4, 28, 11, 20, 22, 19
RRT,3,[],32, 28, 2, 3, 7, 9, 23, 33
GDA,3,[],4, 30, 30, 27, 16, 23, 15, 32
SA,4,[],7, 7, 3, 2, 18, 29, 26, 33
RRT,4,[],22, 4, 27, 16, 30, 6, 24, 11
GDA,4,[],27, 16, 30, 4, 11, 28, 31, 10
