Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],5, 4, 4, 4, 4, 9, 7, 2
RRT,0,[],6, 10, 10, 8, 9, 9, 7, 4
GDA,0,[],6, 4, 10, 5, 8, 7, 11, 9
SA,1,[],5, 4, 4, 8, 6, 10, 2, 2
RRT,1,[],6, 6, 10, 8, 8, 8, 8, 2
GDA,1,[],6, 4, 10, 5, 8, 7, 11, 9
SA,2,[],5, 11, 11, 6, 10, 8, 8, 2
RRT,2,[],6, 10, 8, 7, 9, 9, 4, 5
GDA,2,[],6, 4, 10, 5, 8, 7, 11, 9
SA,3,[],6, 10, 10, 8, 7, 7, 9, 9
RRT,3,[],10, 6, 6, 6, 8, 7, 9, 5
GDA,3,[],6, 4, 10, 5, 8, 7, 11, 9
SA,4,[],6, 10, 8, 8, 7, 9, 9, 1
RRT,4,[],6, 10, 8, 8, 7, 9, 7, 1
GDA,4,[],6, 4, 10, 5, 8, 7, 11, 9
