Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],4, 4, 4, 4, 4, 2, 0, 1
RRT,0,[],4, 4, 4, 4, 2, 2, 0, 6
GDA,0,[],4, 4, 4, 2, 2, 0, 0, 1
SA,1,[],4, 4, 4, 4, 4, 2, 0, 1
RRT,1,[],5, 5, 5, 5, 5, 5, 3, 1
GDA,1,[],4, 4, 2, 2, 2, 2, 2, 0
SA,2,[],4, 4, 4, 4, 4, 2, 0, 1
RRT,2,[],5, 3, 3, 3, 3, 3, 6, 1
GDA,2,[],6, 5, 5, 5, 5, 3, 4, 0
SA,3,[],4, 4, 4, 2, 2, 0, 0, 1
RRT,3,[],4, 4, 4, 4, 3, 3, 5, 6
GDA,3,[],4, 4, 4, 4, 2, 0, 0, 6
SA,4,[],4, 2, 2, 2, 2, 0, 0, 1
RRT,4,[],5, 5, 4, 4, 2, 2, 2, 0
GDA,4,[],6, 6, 6, 4, 2, 0, 0, 1
