Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],13, 16, 16, 16, 11, 11, 14, 15
RRT,0,[],13, 16, 11, 11, 11, 14, 14, 19
GDA,0,[],6, 13, 9, 18, 17, 8, 10, 5
SA,1,[],16, 11, 14, 5, 18, 10, 10, 10
RRT,1,[],16, 16, 11, 13, 15, 7, 6, 9
GDA,1,[],6, 13, 9, 18, 17, 8, 10, 5
SA,2,[],16, 11, 13, 13, 13, 13, 9, 6
RRT,2,[],13, 11, 16, 14, 9, 7, 6, 15
GDA,2,[],6, 13, 9, 18, 17, 8, 10, 5
SA,3,[],13, 16, 11, 14, 9, 9, 6, 7
RRT,3,[],7, 6, 9, 9, 13, 11, 16, 14
GDA,3,[],6, 13, 9, 18, 17, 8, 10, 5
SA,4,[],16, 11, 14, 5, 19, 18, 10, 17
RRT,4,[],13, 16, 11, 14, 3, 19, 12, 8
GDA,4,[],6, 13, 9, 18, 17, 8, 10, 5
