Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],4, 4, 4, 5, 15, 18, 16, 14
RRT,0,[],5, 4, 15, 18, 16, 14, 11, 11
GDA,0,[],15, 5, 4, 9, 9, 9, 19, 17
SA,1,[],15, 5, 4, 7, 19, 13, 13, 12
RRT,1,[],4, 5, 15, 18, 17, 19, 8, 10
GDA,1,[],5, 15, 4, 9, 7, 18, 16, 14
SA,2,[],12, 13, 8, 19, 17, 10, 11, 7
RRT,2,[],4, 5, 15, 18, 16, 14, 14, 7
GDA,2,[],4, 4, 5, 15, 18, 18, 7, 10
SA,3,[],4, 5, 15, 18, 16, 14, 7, 7
RRT,3,[],5, 15, 4, 7, 14, 14, 14, 18
GDA,3,[],15, 15, 5, 4, 9, 17, 11, 7
SA,4,[],14, 16, 18, 7, 11, 17, 10, 8
RRT,4,[],19, 12, 13, 17, 19, 8, 10, 11
GDA,4,[],5, 15, 4, 10, 8, 14, 16, 18
