Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],3, 2, 5, 4, 1, 0],9.773387165490545,12
RRT,0,[],3, 2, 5, 4, 1, 0],9.773387165490545,12
GDA,0,[],3, 2, 5, 4, 1, 0],9.773387165490545,12
SA,1,[],3, 2, 5, 4, 1, 0],9.773387165490545,12
RRT,1,[],3, 2, 5, 5, 4, 1, 0],9.773387165490545
GDA,1,[],3, 2, 5, 5, 4, 1, 0],9.773387165490545
SA,2,[],3, 2, 2, 5, 4, 1, 0],9.773387165490545
RRT,2,[],3, 2, 5, 4, 1, 0],9.773387165490545,12
GDA,2,[],3, 2, 5, 4, 1, 0],9.773387165490545,12
SA,3,[],3, 3, 2, 5, 4, 1, 0],9.773387165490545
RRT,3,[],3, 2, 5, 4, 1, 0],9.773387165490545,12
GDA,3,[],3, 2, 5, 4, 1, 0],9.773387165490545,12
SA,4,[],3, 2, 5, 4, 1, 1, 0],9.773387165490545
RRT,4,[],3, 2, 5, 4, 1, 1, 0],9.773387165490545
GDA,4,[],3, 2, 5, 4, 1, 1, 0],9.773387165490545
