Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],6, 7, 10, 9, 9, 9, 16, 17
RRT,0,[],5, 8, 11, 14, 4, 10, 9, 7
GDA,0,[],11, 5, 8, 14, 15, 4, 12, 12
SA,1,[],14, 8, 5, 11, 12, 3, 3, 2
RRT,1,[],17, 16, 9, 10, 3, 13, 2, 4
GDA,1,[],15, 4, 6, 7, 10, 9, 16, 17
SA,2,[],14, 15, 4, 6, 7, 10, 10, 10
RRT,2,[],13, 17, 1, 16, 9, 10, 6, 7
GDA,2,[],8, 5, 11, 14, 15, 4, 2, 6
SA,3,[],9, 9, 10, 7, 6, 15, 4, 2
RRT,3,[],2, 12, 3, 13, 17, 16, 10, 9
GDA,3,[],7, 6, 4, 15, 14, 8, 5, 11
SA,4,[],13, 3, 17, 16, 9, 10, 7, 7
RRT,4,[],8, 14, 15, 4, 7, 6, 10, 17
GDA,4,[],12, 12, 3, 9, 10, 2, 2, 7
