Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],14, 16, 18, 11, 11, 11, 15, 13
RRT,0,[],19, 4, 19, 8, 12, 12, 5, 10
GDA,0,[],10, 12, 5, 19, 7, 7, 9, 18
SA,1,[],10, 10, 6, 12, 5, 8, 4, 19
RRT,1,[],10, 6, 12, 5, 19, 8, 7, 13
GDA,1,[],13, 15, 11, 14, 16, 18, 17, 7
SA,2,[],14, 16, 18, 11, 11, 15, 15, 13
RRT,2,[],16, 14, 18, 17, 11, 15, 7, 5
GDA,2,[],6, 12, 5, 19, 19, 17, 7, 11
SA,3,[],10, 6, 12, 5, 8, 7, 4, 19
RRT,3,[],17, 18, 16, 14, 11, 15, 13, 6
GDA,3,[],11, 15, 13, 7, 8, 5, 4, 17
SA,4,[],10, 6, 12, 5, 19, 4, 8, 7
RRT,4,[],19, 5, 5, 12, 10, 6, 13, 7
GDA,4,[],6, 9, 10, 14, 5, 18, 17, 8
