Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],35, 38, 12, 20, 16, 10, 8, 34
RRT,0,[],35, 38, 12, 20, 16, 10, 8, 34
GDA,0,[],35, 38, 12, 20, 16, 10, 8, 34
SA,1,[],35, 38, 12, 20, 16, 10, 8, 34
RRT,1,[],35, 38, 12, 20, 16, 10, 8, 34
GDA,1,[],35, 38, 12, 20, 16, 10, 8, 34
SA,2,[],35, 38, 12, 20, 16, 10, 8, 34
RRT,2,[],35, 38, 12, 20, 16, 10, 8, 34
GDA,2,[],35, 38, 12, 20, 16, 10, 8, 34
SA,3,[],35, 38, 12, 20, 16, 10, 8, 34
RRT,3,[],35, 38, 12, 20, 16, 10, 8, 34
GDA,3,[],35, 38, 12, 20, 16, 10, 8, 34
SA,4,[],35, 38, 12, 20, 16, 10, 8, 34
RRT,4,[],35, 38, 12, 20, 16, 10, 8, 34
GDA,4,[],35, 38, 12, 20, 16, 10, 8, 34
