Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],6, 19, 4, 4, 12, 17, 8, 10
RRT,0,[],6, 19, 4, 4, 12, 8, 10, 14
GDA,0,[],19, 19, 6, 7, 11, 4, 17, 12
SA,1,[],18, 18, 14, 10, 8, 8, 8, 17
RRT,1,[],6, 7, 11, 17, 8, 14, 18, 17
GDA,1,[],19, 4, 14, 18, 10, 12, 8, 17
SA,2,[],6, 19, 19, 4, 4, 12, 12, 8
RRT,2,[],14, 18, 10, 12, 8, 17, 11, 7
GDA,2,[],12, 8, 10, 14, 18, 17, 11, 7
SA,3,[],4, 4, 4, 19, 6, 9, 16, 7
RRT,3,[],11, 12, 8, 18, 14, 10, 17, 4
GDA,3,[],6, 15, 9, 16, 7, 7, 19, 4
SA,4,[],14, 18, 10, 8, 12, 17, 11, 4
RRT,4,[],12, 8, 10, 14, 18, 17, 7, 11
GDA,4,[],18, 14, 10, 12, 17, 17, 8, 4
